C0220597	Adult Hodgkin Lymphoma
C4747715	SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY-PREDOMINANT, 2A, CHILDHOOD ONSET, AUTOSOMAL DOMINANT
C0265233	Cryptophthalmos syndrome
C3854603	FNAITP
C4311049	Xq25 DUPLICATION SYNDROME
C0038870	Neuralgia, Supraorbital
C0033835	Pseudopseudohypoparathyroidism
C4748830	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 29
C0271583	ACTH Deficiency, Isolated
C4551512	DEHYDRATED HEREDITARY STOMATOCYTOSIS 1 WITH OR WITHOUT PSEUDOHYPERKALEMIA AND/OR PERINATAL EDEMA
C4748839	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 32
C4748838	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 31
C1850343	Mosaic variegated aneuploidy syndrome 1
C0265239	Wildervanck's syndrome
C0002883	Anemia, Hemolytic, Idiopathic Acquired
C0002882	Anemia, Hemolytic, Congenital Nonspherocytic
C0002881	Anemia, Hemolytic, Congenital
C0549567	Pigmentation Disorders
C0002886	Anemia, Macrocytic
C0002884	Hypochromic anemia
C3892039	BARDET-BIEDL SYNDROME 5
C0002889	Anemia, Microangiopathic
C4547080	Unilateral lobar pulmonary agenesis
C0018566	Congenital Hand Deformities
C2751320	Myopathy, Mitochondrial Progressive, With Congenital Cataract, Hearing Loss, And Developmental Delay
C0268250	Gaucher Disease, Type 2 (disorder)
C0268251	Gaucher Disease, Type 3 (disorder)
C0268252	Late-Onset Globoid Cell Leukodystrophy
C1837203	WAARDENBURG SYNDROME, TYPE IID
C0017614	Glaucoma, Suspect
C0268255	Farber Lipogranulomatosis
C1837206	Cryohydrocytosis, Stomatin-Deficient, with Mental Retardation, Seizures, Cataracts, and Massive Hepatosplenomegaly
C1300127	Perivascular Epithelioid Cell Neoplasms
C1837756	MANDIBULOACRAL DYSPLASIA WITH TYPE B LIPODYSTROPHY
C3839609	Complex craniosynostosis
C4693863	TUMORAL CALCINOSIS, HYPERPHOSPHATEMIC, FAMILIAL, 2
C2932715	Pseudohypoparathyroidism Type 1B
C4693864	TUMORAL CALCINOSIS, HYPERPHOSPHATEMIC, FAMILIAL, 3
C0151468	Thyroid Gland Follicular Adenoma
C2932716	Pseudohypoparathyroidism Type 1C
C0240595	Rotary Nystagmus
C0024894	Mastitis
C0410179	Ullrich congenital muscular dystrophy 1
C3280073	CRANIOSYNOSTOSIS AND DENTAL ANOMALIES
C0410173	Severe autosomal recessive muscular dystrophy of childhood - North African type (disorder)
C0410174	Fukuyama Type Congenital Muscular Dystrophy
C0024899	Mastocytosis
C1969024	CARDIOMYOPATHY, DILATED, 1X
C2752062	EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 8
C2752061	Cerebral Palsy, Spastic Quadriplegic, 2
C0154832	Exudative retinopathy
C3553959	PEROXISOME BIOGENESIS DISORDER 8A (ZELLWEGER)
C3553958	METAPHYSEAL ENCHONDROMATOSIS WITH D-2-HYDROXYGLUTARIC ACIDURIA
C0086543	Cataract
C0086540	Leishmaniasis, New World
C0086541	Urban cutaneous leishmaniasis
C3203356	Factor II deficiency
C0438921	Back Pain without Radiation
C3203358	Hypoventilation
C1855733	Neuronal intestinal pseudoobstruction
C1855739	Indifference to Pain, Congenital, Autosomal Recessive
C3159322	SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE
C1855081	MICROCEPHALY, PRIMARY AUTOSOMAL RECESSIVE, 1
C1833699	Osteopoikilosis, Isolated
C1840572	HIP DYSPLASIA, BEUKES TYPE
C1833693	Otodental Dysplasia
C0026826	Muscle Hypertonia
C1833691	Otofaciocervical Syndrome
C1851347	Familial Mediterranean Fever, Autosomal Dominant
C1857829	Heart-hand syndrome, Slovenian type
C3532239	Mitochondrial cardiomyopathy
C1140710	Cerebral Cavernous Hemangioma
C1140716	Hypoxic Brain Damage
C1857821	LEBER CONGENITAL AMAUROSIS 10 (disorder)
C1857776	3-@METHYLGLUTACONIC ACIDURIA, TYPE V
C1857777	Arrhythmogenic Right Ventricular Dysplasia, Familial, 10
C1857775	Diabetes Mellitus, Neonatal, with Congenital Hypothyroidism
C0030662	Gambling, Pathological
C1857779	SENIOR-LOKEN SYNDROME 6
C2936879	SPASTIC PARAPLEGIA 36, AUTOSOMAL DOMINANT
C1855552	Lactic Aciduria due to D-Lactic Acid
C1855553	Pyruvate Dehydrogenase E3-Binding Protein Deficiency
C1845919	Ectodermal Dysplasia, Anhidrotic, with Immunodeficiency, Osteopetrosis, and Lymphedema
C2678488	Hypoplasia of terminal phalanges
C0031391	Phencyclidine Abuse
C2678484	Long Qt Syndrome 10
C2678485	LONG QT SYNDROME 9 (disorder)
C0007302	Cartilage Diseases
C2678480	Chromosome 22q11.2 Deletion Syndrome, Distal
C1859399	Radial bowing
C0235063	Respiratory Depression
C0265563	Congenital dislocation of radial head
C2931067	Cholestasis, progressive familial intrahepatic 4
C0268248	Niemann-Pick Disease, Type E
C1860707	TUBEROUS SCLEROSIS 2 (disorder)
C0154698	Monoplegic Infantile Cerebral Palsy
C0154697	Cerebral Palsy, Quadriplegic, Infantile
C0154694	Hemiplegia, Spastic
C0154695	Diplegic Infantile Cerebral Palsy
C0154693	Hemiplegia, Flaccid
C3809311	ATRIAL FIBRILLATION, FAMILIAL, 13
C0860029	Vaginal Yeast Infections
C3809312	ATRIAL FIBRILLATION, FAMILIAL, 14
C0344243	See-Saw Nystagmus
C0860158	Leydig Cell Hypoplasia
C4015067	AUTOINFLAMMATION WITH INFANTILE ENTEROCOLITIS
C4015062	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 22
C4225380	SINGLETON-MERTEN SYNDROME 2
C2713447	Hyperpotassemia and Hypertension, Familial
C0149958	Complex partial seizures
C2713442	Polyposis, Adenomatous Intestinal
C2713443	Familial Intestinal Polyposis
C4310695	ANIRIDIA 3
C4749014	NEURODEVELOPMENTAL DISORDER WITH IMPAIRED INTELLECTUAL DEVELOPMENT, HYPOTONIA, AND ATAXIA
C2677889	Protoporphyria, Erythropoietic, X-Linked Dominant
C4746777	ORTHOSTATIC HYPOTENSION 1
C3151898	MITOCHONDRIAL MYOPATHY, INFANTILE, TRANSIENT
C0015371	Extrapyramidal Disorders
C2931210	Usher syndrome, type 1F
C0751523	Non-Convulsive Status Epilepticus
C0751522	Status Epilepticus, Subclinical
C0751524	Simple Partial Status Epilepticus
C0751527	Stuttering, Adult
C0037036	Sialorrhea
C2678034	MENTAL RETARDATION, X-LINKED 95
C0349231	Phobic anxiety disorder
C0454608	Apraxia, Oral
C1864498	RENAL TUBULAR ACIDOSIS, DISTAL, AUTOSOMAL RECESSIVE
C0454606	Oral Dyskinesia
C2677086	Skin-Hair-Eye Pigmentation, Variation In, 11
C0020635	Hypopituitarism
C4310697	FRONTOMETAPHYSEAL DYSPLASIA 2
C0020630	Hypophosphatasia
C3810072	Palmoplantar keratoderma Nagashima type
C0030443	Familial Periodic Paralysis
C0037383	Sneezing
C3714514	Infection
C3714844	Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia
C0024535	Malaria, Falciparum
C1853258	Seborrhea-Like Dermatitis with Psoriasiform Elements
C0024530	Malaria
C1853251	Spastic Paraplegia 33, Autosomal Dominant
C1853250	SPINOCEREBELLAR ATAXIA 23
C1846331	Juvenile-onset dystonia
C4518087	Acral dystrophic epidermolysis bullosa
C0349588	Short stature
C3554279	CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 2
C0751316	Acquired Meningomyelocele
C0575059	Spastic tetraparesis
C2677338	Cardiomyopathy, Dilated, 1AA
C1623209	Okihiro Syndrome
C3808377	CATARACT 16, MULTIPLE TYPES
C0476089	Endometrial Carcinoma
C4748993	MACROCEPHALY, ACQUIRED, WITH IMPAIRED INTELLECTUAL DEVELOPMENT
C4011788	Behavioral variant of frontotemporal dementia
C4551510	CARPENTER SYNDROME 1
C4551511	X-linked sideroblastic anemia
C4551514	Hemophagocytic Lymphohistiocytosis, Familial, 1
C3281125	THROMBOCYTHEMIA 3
C0520966	Abnormal coordination
C0015702	Favism
C0015704	Favre-Racouchot Syndrome
C0019284	Diaphragmatic Hernia
C0015708	Fazio-Londe Syndrome
C2931299	ZAP70 deficiency
C0267071	Oropharyngeal Dysphagia
C4707825	X-linked cleft palate and ankyloglossia
C0267072	Esophageal Dysphagia
C3852984	Acute Mesenteric Arterial Embolus
C0795841	Jacobsen Distal 11q Deletion Syndrome
C4748041	INTELLECTUAL DEVELOPMENTAL DISORDER WITH OR WITHOUT EPILEPSY OR CEREBELLAR ATAXIA
C2930924	Interferon gamma, receptor 1, deficiency
C2930927	Kallmann syndrome, type 3, recessive
C2930922	Reginato Schiapachasse syndrome
C0018777	Conductive hearing loss
C0339693	Internal Ophthalmoplegia
C4704862	Polyarthritis, Juvenile, Rheumatoid Factor Positive
C1852700	Complement Component 4, Partial Deficiency Of
C4749905	Methylmalonic aciduria due to transcobalamin receptor defect
C0752110	Central Nervous System Inborn Metabolic Diseases
C0751004	Giant Intracranial Aneurysm
C0178416	Hypoplastic anemia
C0178417	Anhedonia
C1861921	Cutaneous syndactyly
C4552097	Nevus Sebaceus of Jadassohn
C4552766	Miscarriage
C4552092	Dowling-Degos disease 1
C4552091	Polyarthritis, Juvenile, Rheumatoid Factor Negative
C3280265	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 18
C3280266	NARCOLEPSY 7
C3553961	AUTOINFLAMMATION, ANTIBODY DEFICIENCY, AND IMMUNE DYSREGULATION, PLCG2-ASSOCIATED
C4552768	Myoclonic Epilepsy, Adolescent
C1510410	Sense of smell altered
C1861678	Charcot-Marie-Tooth Disease, Axonal, Type 2a1
C3151476	MITOCHONDRIAL DNA DEPLETION SYNDROME 9 (ENCEPHALOMYOPATHIC TYPE WITH METHYLMALONIC ACIDURIA)
C4023501	Focal myoclonic seizures
C1867450	Pseudoxanthoma Elasticum, Incomplete
C1867983	PORENCEPHALY, FAMILIAL
C1867981	POROKERATOSIS, DISSEMINATED SUPERFICIAL ACTINIC, 1
C3808991	NGLY1 deficiency
C1842836	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ii
C4751572	Periodic paralysis with transient compartment-like syndrome
C0887900	Upper Aerodigestive Tract Neoplasms
C4751570	Ferro-cerebro-cutaneous syndrome
C2748536	Leukocyte Adhesion Deficiency, Type III
C1302790	Congenital malformation syndrome
C4747940	HUMEROFEMORAL HYPOPLASIA WITH RADIOTIBIAL RAY DEFICIENCY
C1842839	HYPOTRICHOSIS 6
C0153349	Malignant neoplasm of tongue
C0033132	Cerebellar Degenerations, Primary
C0033139	Primary Insomnia
C0008301	Choking
C1394891	Intrinsic Factor Deficiency
C0024954	Maxillary Neoplasms
C0406767	Keratoderma with scleroatrophy of the extremities
C0024950	Maxillary Diseases
C0395941	Mondini defect
C3151784	MACULAR DEGENERATION, X-LINKED ATROPHIC
C0751648	Recurrent Low Back Pain
C0338457	Aphasia, Progressive
C3151781	CK syndrome
C3151782	46,XX SEX REVERSAL 3
C4747989	PROTEASOME-ASSOCIATED AUTOINFLAMMATORY SYNDROME 2
C3278664	LIVER FAILURE, INFANTILE, TRANSIENT
C0282126	Depression, Neurotic
C0917796	Optic Atrophy, Hereditary, Leber
C4012146	DESBUQUOIS DYSPLASIA 1
C0349535	Carcinoid tumor of intestine
C0917798	Cerebral Ischemia
C0085106	Familial benign pemphigus
C2675650	Brain Small Vessel Disease With Axenfeld-Rieger Anomaly
C1968699	Hypothyroidism, Thyroidal, With Spiky Hair And Cleft Palate
C0037768	Spasmophilia
C2675659	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 10
C0272350	Dysfibrinogenemia, Congenital
C0005683	Urinary Bladder Calculi (disorder)
C1833229	Cataract, Congenital Zonular, with Sutural Opacities
C0878576	Posterior Leukoencephalopathy Syndrome
C0432253	Bruck syndrome
C0432252	Osteoporosis with pseudoglioma
C0432255	Geroderma osteodysplastica
C0432254	Singleton Merten syndrome
C4539948	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 26
C3278404	MULTIPLE JOINT DISLOCATIONS, SHORT STATURE, AND CRANIOFACIAL DYSMORPHISM WITH OR WITHOUT CONGENITAL HEART DEFECTS
C3550913	MENTAL RETARDATION, X-LINKED, SYNDROMIC 32
C4747366	Hypercholanemia
C2931296	Yorifuji Okuno syndrome
C2931290	Welander distal myopathy, Swedish type
C0685786	Cleft mandible
C3839296	Phakomatosis cesiomarmorata
C0151879	Shortened QT interval
C0206624	Hepatoblastoma
C0206627	Mixed Tumor, Mullerian
C2349952	Oropharyngeal Carcinoma
C0031099	Periodontitis
C0031090	Periodontal Diseases
C0079661	Klein's Syndrome
C4053775	Pituitary stalk interruption syndrome
C0521760	Fatigable Positional Nystagmus
C0521761	Non-Fatigable Positional Nystagmus
C0220679	Ehlers-Danlos Syndrome, Autosomal Dominant, Type Unspecified
C1282974	von Willebrand disease type 2M
C1282975	von Willebrand Disease, Type 2N
C3151513	MITOCHONDRIAL DNA DEPLETION SYNDROME 3 (HEPATOCEREBRAL TYPE)
C4016492	TN POLYAGGLUTINATION SYNDROME, SOMATIC
C4303761	Familial thrombocytosis
C1838162	Mesomelia-synostoses syndrome
C1838163	OSLER-RENDU-WEBER SYNDROME 2
C0035204	Respiration Disorders
C0034091	Pulmonary Veno-Occlusive Disease (disorder)
C0559470	Allergy to peanuts
C4304526	5q35 microduplication syndrome
C0268060	Juvenile hemochromatosis
C3279754	PSORIASIS 13, SUSCEPTIBILITY TO
C3279756	HERMANSKY-PUDLAK SYNDROME 7
C3279757	CHONDRODYSPLASIA WITH JOINT DISLOCATIONS, GPAPP TYPE
C0278211	Reflex, Corneal, Absent
C1857802	MORM syndrome
C0238301	Cancer of Nasopharynx
C0344479	Spinal Cord Myelodysplasia
C1852092	DIABETES MELLITUS, INSULIN-DEPENDENT, 2
C0342287	Thiamine responsive megaloblastic anemia syndrome
C0030625	Passive Cutaneous Anaphylaxis
C0796238	MENTAL RETARDATION, X-LINKED 31
C1835697	Keratitis Fugax Hereditaria
C0265004	Dilatation of aorta
C0021843	Intestinal Obstruction
C1835698	Keratitis, hereditary
C2677434	OROFACIAL CLEFT 11
C0796237	Mental Retardation, X-Linked 30
C1563715	Andersen Syndrome
C1563716	Thyroid Dysgenesis
C0702169	Acrania
C4540511	GELEOPHYSIC DYSPLASIA 3
C0221074	Depression, Postpartum
C1563718	Genital Infantilism
C1563719	Kallmann Syndrome 1
C1852282	DEAFNESS, AUTOSOMAL DOMINANT 1 (disorder)
C0406778	Dermatopathia pigmentosa reticularis
C1739363	Prostatic Hypertrophy
C4551721	PERRAULT SYNDROME 1
C4551720	Primary Ciliary Dyskinesia
C0406775	Symmetrical dyschromatosis of extremities
C4509881	Multifocal pattern dystrophy of retinal pigment epithelium simulating fundus flavimaculatus
C0751951	Central Core Myopathy (disorder)
C0751952	Anterior Circulation Brain Infarction
C0751953	Brain Infarction, Posterior Circulation
C0751954	Venous Infarction, Brain
C0751955	Brain Infarction
C0751956	Acute Cerebrovascular Accidents
C4478379	MENTAL RETARDATION, X-LINKED 106
C0751958	Lymphoma, Lymphocytic, Intermediate
C0037932	Curvature of spine
C4554007	Uveoretinal Coloboma
C4225252	IMMUNODEFICIENCY 45
C4225251	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 27
C0751056	Non-epileptic convulsion
C4225257	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 34
C4225256	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 35
C4225255	YUAN-HAREL-LUPSKI SYNDROME
C4225254	SPASTIC TETRAPLEGIA, THIN CORPUS CALLOSUM, AND PROGRESSIVE MICROCEPHALY
C4225259	SMITH-KINGSMORE SYNDROME
C4225258	EPILEPSY, PROGRESSIVE MYOCLONIC, 10
C1301355	Myelodysplastic-Myeloproliferative Diseases
C1832475	Deafness, Autosomal Dominant 11
C1832476	Deafness, Autosomal Dominant 10
C1145628	Autonomic nervous system disorders
C2750069	Lipodystrophy, Congenital Generalized, Type 4
C0340375	Subaortic stenosis
C3554373	AUTISM, SUSCEPTIBILITY TO, 18
C0406557	Poikiloderma of Kindler
C3554374	DYSTONIA 24
C1282971	von Willebrand Disease, Type 2B
C3809811	PARKINSON DISEASE 19A, JUVENILE-ONSET
C1112486	Aggressive Systemic Mastocytosis
C0007112	Adenocarcinoma of prostate
C0007113	Rectal Carcinoma
C1291560	Deficiency of glutamate decarboxylase
C1843463	Ichthyosis, Cyclic, with Epidermolytic Hyperkeratosis
C0007117	Basal cell carcinoma
C0023530	Leukopenia
C0023531	Leukoplakia
C1845102	Hyperekplexia and Epilepsy
C1845105	Premature Ovarian Failure 2b
C1842486	Zinc Deficiency, Neonatal, due to Low Breast Milk Zinc
C0585362	Squamous cell carcinoma of mouth
C1832615	HYPERPARATHYROIDISM, NEONATAL SEVERE
C0235874	Disease Exacerbation
C1832612	Hypocalcemia, Autosomal Dominant, with Bartter Syndrome
C2676742	Premature Ovarian Failure 6
C0008533	Hemophilia B
C0001849	AIDS Dementia Complex
C0005818	Blood Platelet Disorders
C3809104	SYMPHALANGISM, PROXIMAL, 1B
C0233765	Hallucinations, Olfactory
C0233766	Hallucinations, Gustatory
C0279628	Adenocarcinoma Of Esophagus
C1843687	ATRIAL FIBRILLATION, FAMILIAL, 1 (disorder)
C0233762	Hallucinations, Auditory
C0233763	Hallucinations, Visual
C0279626	Squamous cell carcinoma of esophagus
C0004364	Autoimmune Diseases
C4551988	BLEPHAROCHEILODONTIC SYNDROME 1
C4012790	Ataxia-Telangiectasisa-Like Disorder 1
C0242459	Simple Pulmonary Eosinophilia
C4551981	Familial Multiple Coagulation Factor Deficiency I
C4706524	Severe combined immunodeficiency due to CTPS1 deficiency
C4551983	EPILEPSY, FAMILIAL FOCAL, WITH VARIABLE FOCI 1
C4551982	TRICHOHEPATOENTERIC SYNDROME 1
C0004368	Autoimmune state
C0282609	Bone Marrow Neoplasms
C4551986	AMR Syndrome
C0038271	Stereotyped Behavior
C3281055	PSYCHOMOTOR RETARDATION, EPILEPSY, AND CRANIOFACIAL DYSMORPHISM
C0038273	Stereotypic Movement Disorder
C0038279	Sterility, Postpartum
C4510873	Atypical juvenile parkinsonism
C4748176	MICROCEPHALY, GROWTH RESTRICTION, AND INCREASED SISTER CHROMATID EXCHANGE 2
C0751776	Atypical Inclusion-Body Disease
C0751777	Familial Progressive Myoclonic Epilepsy
C1853623	Fryns-Aftimos Syndrome
C0015397	Disorder of eye
C0751778	Myoclonic Epilepsies, Progressive
C0751779	Action Myoclonus-Renal Failure Syndrome
C1860405	Snowflake vitreoretinal degeneration
C3550478	HYPOGONADOTROPIC HYPOGONADISM 3 WITH OR WITHOUT ANOSMIA
C3888208	SPASTIC PARAPLEGIA 41, AUTOSOMAL DOMINANT
C0022584	Keratoderma, Palmoplantar, Diffuse
C0022580	Punctate keratosis
C4540327	NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL LIMB ANOMALIES
C0033581	prostatitis
C3888401	ALBINISM, OCULOCUTANEOUS, TYPE V
C2936863	Bardet-Biedl syndrome 2 (disorder)
C4540324	MENTAL RETARDATION, AUTOSOMAL DOMINANT 49
C3151264	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 17
C3809583	IMMUNODEFICIENCY 12
C0746857	Focal Neurologic Deficits
C0742803	Conus Medullaris Syndrome
C1855548	Laron syndrome type 2
C0262587	Parathyroid Adenoma
C0262584	Carcinoma, Small Cell
C0027697	Nephritis
C0263984	Polymyositis Ossificans
C0013390	Dysmenorrhea
C0013393	Dysostoses
C2678492	Sex Reversal, Female, With Dysgenesis Of Kidneys, Adrenals, And Lungs
C1858133	Ichthyosis, Nonlamellar and Nonerythrodermic, Congenital, Autosomal Recessive
C0015930	Fetal Distress
C0015934	Fetal Growth Retardation
C0993582	Arthritis, Experimental
C4552029	CEREBRORETINAL MICROANGIOPATHY WITH CALCIFICATIONS AND CYSTS 1
C1836573	GRISCELLI SYNDROME, TYPE 3
C1959626	Mevalonic Aciduria
C1959620	Dihydropyrimidine Dehydrogenase Deficiency
C0262361	Growth abnormality
C0017636	Glioblastoma
C0268275	Tay-Sachs Disease, AB Variant
C0268272	Gangliosidosis, Generalized GM1, Type 2
C0268273	Gangliosidosis, Generalized GM1, Type 3
C0268271	Gangliosidosis, Generalized GM1, Type 1 (disorder)
C2675463	Chromosome 15q26-Qter Deletion Syndrome
C2675460	HAIR MORPHOLOGY 1
C1837739	Hypertension, Diastolic, Resistance to
C0017638	Glioma
C0017639	Gliosis
C1849762	Polycystic Kidney Disease, Potter Type I, with Microbrachycephaly, Hypertelorism, and Brachymelia
C4539798	CILIARY DYSKINESIA, PRIMARY, 37
C4014869	LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 6
C0032987	Ectopic Pregnancy
C0040136	Thyroid Neoplasm
C0028768	Obsessive-Compulsive Disorder
C3280011	BRITTLE CORNEA SYNDROME 2
C2752041	Three M Syndrome 2
C2752040	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 2
C0026613	Motor Skills Disorders
C3553977	HYPOGONADOTROPIC HYPOGONADISM 15 WITH OR WITHOUT ANOSMIA
C1414017	DEAFNESS, AUTOSOMAL RECESSIVE 25
C0342302	Brittle diabetes
C3275898	RENAL DYSPLASIA, CYSTIC, SUSCEPTIBILITY TO
C1846574	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE, WITH AXONAL NEUROPATHY
C1855710	Bone marrow hypocellularity
C2931074	Cone rod dystrophy amelogenesis imperfecta
C1851413	EXOSTOSES, MULTIPLE, TYPE II
C3280296	Microcephaly-capillary malformation syndrome
C0151650	Renal fibrosis
C2931888	Pfeiffer type acrocephalosyndactyly
C3495874	Nonepileptic Seizures
C1836860	FANCONI ANEMIA, COMPLEMENTATION GROUP J
C1720779	Apolipoprotein C-II Deficiency (disorder)
C1802395	Congenital muscular hypertrophy-cerebral syndrome
C2931884	Reticuloendotheliosis, familial, with eosinophilia
C1306214	ACTH-Secreting Pituitary Adenoma
C0006635	Cadmium poisoning
C1855577	Erythrocyte Lactate Transporter Defect
C2936858	Congenital adrenal hyperplasia due to 21 hydroxylase deficiency
C1963184	Nystagmus, CTCAE 3.0
C1970187	Deafness, Sensorineural, And Male Infertility
C1848411	XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP E
C1848410	Xeroderma pigmentosum, variant type
C0270846	Epileptic drop attack
C1298681	Oxalosis
C1838280	Epiphyseal dysplasia, multiple, 1
C4303482	Familial Alzheimer-like prion disease
C4015261	POLYENDOCRINE-POLYNEUROPATHY SYNDROME
C0796003	Juberg-Marsidi syndrome
C2931082	Familial apoceruloplasmin deficiency
C0009207	Cockayne Syndrome
C3896578	Familial Colorectal Cancer Type X
C3544205	Ovarian clear cell carcinoma
C1838570	CEROID LIPOFUSCINOSIS, NEURONAL, 8
C3279690	MOYAMOYA DISEASE 5
C3279693	ATRIAL FIBRILLATION, FAMILIAL, 11
C0271185	Metamorphopsia
C3279695	ATRIAL FIBRILLATION, FAMILIAL, 12
C0268181	Lactose Intolerance, Adult Type
C0270853	Juvenile Myoclonic Epilepsy
C0750908	Pre-Ictal Amnesia
C0270851	Benign neonatal epilepsy
C0270850	Idiopathic generalized epilepsy
C0270855	Early myoclonic encephalopathy
C0270854	Symptomatic Generalized Epilepsy
C0270858	Abdominal Migraine
C1968843	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 5 (disorder)
C1869118	HYPOTHYROIDISM, CONGENITAL, DUE TO THYROID DYSGENESIS
C1968845	Primary Lateral Sclerosis, Adult, 1
C0438414	Myoclonic Encephalopathy
C0085762	Alcohol abuse
C4706574	KLHL9-related early-onset distal myopathy
C3809374	EPILEPSY, FAMILIAL ADULT MYOCLONIC, 5
C1869117	Paroxysmal nonkinesigenic dyskinesia
C1869115	Weill-Marchesani Syndrome, Autosomal Dominant
C1869114	Weill-Marchesani Syndrome, Autosomal Recessive
C4015080	MICROCEPHALY 13, PRIMARY, AUTOSOMAL RECESSIVE
C0039070	Syncope
C0039075	Syndactyly
C1847024	ALBINISM, OCULOCUTANEOUS, TYPE IB (disorder)
C4749033	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 68
C3887980	Protanomaly
C0271985	Delta-Beta Thalassemia
C3810278	JOUBERT SYNDROME 22
C1857719	Anemia, Diamond-Blackfan, 3
C0149978	Adenocarcinoma of rectum
C0917813	Spina Bifida, Open
C0917812	Tetanilla
C1857710	Progeroid facial appearance
C0917817	Neurofibromatosis 3
C0917816	Mental deficiency
C3469605	PSEUDOHYPOALDOSTERONISM, TYPE IID
C4748341	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 67
C3469606	PSEUDOHYPOALDOSTERONISM, TYPE IIE
C0751544	Tangier Disease Neuropathy
C0037050	Sick Building Syndrome
C0037052	Sick Sinus Syndrome
C2678015	Myopathy, Reducing Body, X-Linked, Childhood-Onset
C0007852	Cervical Migraine Syndrome
C0472767	Beta thalassemia intermedia
C1864870	Night Blindness, Congenital Stationary, Autosomal Dominant 3
C0338502	Hypoplasia of the optic nerve
C0338503	Septo-Optic Dysplasia
C1843851	Sensory ataxic neuropathy, dysarthria, and ophthalmoparesis
C0031511	Pheochromocytoma
C1860238	WOOLLY HAIR, AUTOSOMAL DOMINANT
C0338508	Optic Atrophy 1
C1336708	Testicular Germ Cell Tumor
C0020619	Hypogonadism
C3150127	BARDET-BIEDL SYNDROME 15
C1368275	Pigmented Basal Cell Carcinoma
C0020615	Hypoglycemia
C3810090	L-FERRITIN DEFICIENCY
C3278811	Thumb aplasia
C3714534	dowling-degos disease
C1292231	In(Lu) phenotype (finding)
C1865872	NEPHRONOPHTHISIS 2
C0234357	Adiadochokinesis
C1846648	MICROCEPHALY, AMISH TYPE (disorder)
C1843140	SEIZURES, BENIGN FAMILIAL INFANTILE, 3
C1837608	DEAFNESS, AUTOSOMAL RECESSIVE 32
C1846647	DEAFNESS, AUTOSOMAL RECESSIVE (disorder)
C4551481	TOWNES-BROCKS SYNDROME 1
C2680446	SPASTIC PARAPLEGIA 43, AUTOSOMAL RECESSIVE
C4015095	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 7
C2930844	Hypopituitarism and septooptic 'dysplasia'
C2930842	Familial pityriasis rubra pilaris
C4015424	RETINAL DYSTROPHY AND OBESITY
C0221227	Centriacinar Emphysema
C4014354	PONTOCEREBELLAR HYPOPLASIA, TYPE 9
C4479246	CONGENITAL HEART DEFECTS, DYSMORPHIC FACIAL FEATURES, AND INTELLECTUAL DEVELOPMENTAL DISORDER
C2750246	Pitt-Hopkins-Like Syndrome 1
C1319315	Adenocarcinoma of large intestine
C0473546	Vibratory angioedema
C0423623	Bilateral Headache
C4510605	Hypercoagulability syndrome due to glycosylphosphatidylinositol deficiency
C0271384	Spontaneous Ocular Nystagmus
C0346421	Chronic eosinophilic leukemia
C2673630	HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 5 (disorder)
C0015230	Exanthema
C2673635	Combined Saposin Deficiency
C2673186	Aortic Aneurysm, Familial Thoracic 6
C1862103	Brachydactyly type C
C0277850	Reflex, Pendular
C0015456	Facial Dermatoses
C1854540	Carney Complex, Type 2
C1854896	Mucolipidosis III Gamma
C3671688	Cyclic Hematopoesis
C0271385	Horizontal Nystagmus
C4693583	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 7
C4693587	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 8
