GO:0034359	mature chylomicron
GO:0062157	mitochondrial ATP-gated potassium channel complex
GO:0032982	myosin filament
GO:0032983	kainate selective glutamate receptor complex
GO:0070382	exocytic vesicle
GO:0070381	endosome to plasma membrane transport vesicle
GO:1904602	serotonin-activated cation-selective channel complex
GO:0016222	procollagen-proline 4-dioxygenase complex
GO:0042022	interleukin-12 receptor complex
GO:0034592	synaptic vesicle lumen
GO:0046581	intercellular canaliculus
GO:0120234	stereocilium coat
GO:0043218	compact myelin
GO:0043219	lateral loop
GO:0030904	retromer complex
GO:0030905	retromer, tubulation complex
GO:0030906	retromer, cargo-selective complex
GO:0071144	heteromeric SMAD protein complex
GO:0071141	SMAD protein complex
GO:0061202	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane
GO:0035060	brahma complex
GO:1990246	uniplex complex
GO:0034045	phagophore assembly site membrane
GO:0035267	NuA4 histone acetyltransferase complex
GO:0002144	cytosolic tRNA wobble base thiouridylase complex
GO:0002141	stereocilia ankle link
GO:0002142	stereocilia ankle link complex
GO:0097060	synaptic membrane
GO:0005751	mitochondrial respiratory chain complex IV
GO:0031985	Golgi cisterna
GO:0031983	vesicle lumen
GO:0031982	vesicle
GO:0031981	nuclear lumen
GO:0005750	mitochondrial respiratory chain complex III
GO:0072546	EMC complex
GO:0097268	cytoophidium
GO:1990406	CGRP receptor complex
GO:0005795	Golgi stack
GO:0005794	Golgi apparatus
GO:0005797	Golgi medial cisterna
GO:0005796	Golgi lumen
GO:0005791	rough endoplasmic reticulum
GO:0005790	smooth endoplasmic reticulum
GO:0005793	endoplasmic reticulum-Golgi intermediate compartment
GO:1990332	Ire1 complex
GO:0031965	nuclear membrane
GO:0005798	Golgi-associated vesicle
GO:0031966	mitochondrial membrane
GO:0005690	U4atac snRNP
GO:0098999	extrinsic component of postsynaptic endosome membrane
GO:0030691	Noc2p-Noc3p complex
GO:0030692	Noc4p-Nop14p complex
GO:0005691	U6atac snRNP
GO:0120043	stereocilium shaft
GO:0098993	anchored component of synaptic vesicle membrane
GO:0098992	neuronal dense core vesicle
GO:0005663	DNA replication factor C complex
GO:0005662	DNA replication factor A complex
GO:0005665	RNA polymerase II, core complex
GO:0097457	hippocampal mossy fiber
GO:0005667	transcription regulator complex
GO:0048500	signal recognition particle
GO:0005669	transcription factor TFIID complex
GO:0005668	RNA polymerase transcription factor SL1 complex
GO:0043034	costamere
GO:0097409	glial cytoplasmic inclusion
GO:0060170	ciliary membrane
GO:0060171	stereocilium membrane
GO:0036502	Derlin-1-VIMP complex
GO:0036501	UFD1-NPL4 complex
GO:0031362	anchored component of external side of plasma membrane
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain
GO:0000228	nuclear chromosome
GO:1990752	microtubule end
GO:1990356	sumoylated E2 ligase complex
GO:0098843	postsynaptic endocytic zone
GO:0098666	G protein-coupled serotonin receptor complex
GO:0034684	integrin alphav-beta5 complex
GO:0098845	postsynaptic endosome
GO:0098844	postsynaptic endocytic zone membrane
GO:0048471	perinuclear region of cytoplasm
GO:0048476	Holliday junction resolvase complex
GO:0098688	parallel fiber to Purkinje cell synapse
GO:1902636	kinociliary basal body
GO:0090694	Scc2-Scc4 cohesin loading complex
GO:0036128	CatSper complex
GO:0061832	basal ectoplasmic specialization
GO:0098684	photoreceptor ribbon synapse
GO:0061830	concave side of sperm head
GO:0098686	hippocampal mossy fiber to CA3 synapse
GO:0000137	Golgi cis cisterna
GO:0071751	secretory IgA immunoglobulin complex
GO:0001401	SAM complex
GO:0071756	pentameric IgM immunoglobulin complex
GO:0001405	PAM complex, Tim23 associated import motor
GO:0000138	Golgi trans cisterna
GO:0000139	Golgi membrane
GO:0099629	postsynaptic specialization of symmetric synapse
GO:0034688	integrin alphaM-beta2 complex
GO:0098536	deuterosome
GO:0070971	endoplasmic reticulum exit site
GO:0046930	pore complex
GO:0031410	cytoplasmic vesicle
GO:0031415	NatA complex
GO:0031417	NatC complex
GO:0031416	NatB complex
GO:0097731	9+0 non-motile cilium
GO:1905368	peptidase complex
GO:0071953	elastic fiber
GO:0031379	RNA-directed RNA polymerase complex
GO:0001891	phagocytic cup
GO:0036038	MKS complex
GO:0070772	PAS complex
GO:0036030	protein C inhibitor-plasma kallikrein complex
GO:0070776	MOZ/MORF histone acetyltransferase complex
GO:0032040	small-subunit processome
GO:0032045	guanyl-nucleotide exchange factor complex
GO:0032044	DSIF complex
GO:0035525	NF-kappaB p50/p65 complex
GO:0000439	transcription factor TFIIH core complex
GO:0000438	core TFIIH complex portion of holo TFIIH complex
GO:0005927	muscle tendon junction
GO:0005575	cellular_component
GO:0071821	FANCM-MHF complex
GO:0070557	PCNA-p21 complex
GO:0000940	condensed chromosome outer kinetochore
GO:0070552	BRISC complex
GO:0071556	integral component of lumenal side of endoplasmic reticulum membrane
GO:0098794	postsynapse
GO:0034667	integrin alpha3-beta1 complex
GO:0005921	gap junction
GO:0015630	microtubule cytoskeleton
GO:0034456	UTP-C complex
GO:0034457	Mpp10 complex
GO:0034455	t-UTP complex
GO:0042105	alpha-beta T cell receptor complex
GO:0042101	T cell receptor complex
GO:0005881	cytoplasmic microtubule
GO:0005880	nuclear microtubule
GO:0005883	neurofilament
GO:0005882	intermediate filament
GO:0005885	Arp2/3 protein complex
GO:0005884	actin filament
GO:0005887	integral component of plasma membrane
GO:0005886	plasma membrane
GO:0005889	potassium
GO:0043514	interleukin-12 complex
GO:0016600	flotillin complex
GO:0043513	inhibin B complex
GO:0043512	inhibin A complex
GO:0032994	protein-lipid complex
GO:0016586	RSC-type complex
GO:0032996	Bcl3-Bcl10 complex
GO:0016580	Sin3 complex
GO:0016581	NuRD complex
GO:0032993	protein-DNA complex
GO:0016589	NURF complex
GO:0070390	transcription export complex 2
GO:0015030	Cajal body
GO:0033150	cytoskeletal calyx
GO:0036409	histone H3-K14 acetyltransferase complex
GO:0120228	outer dynein arm docking complex
GO:0099512	supramolecular fiber
GO:0043203	axon hillock
GO:0043202	lysosomal lumen
GO:0043204	perikaryon
GO:0043209	myelin sheath
GO:0030915	Smc5-Smc6 complex
GO:0030914	STAGA complex
GO:0016459	myosin complex
GO:0034678	integrin alpha8-beta1 complex
GO:0034679	integrin alpha9-beta1 complex
GO:0002177	manchette
GO:0002178	palmitoyltransferase complex
GO:0034673	inhibin-betaglycan-ActRII complex
GO:0034676	integrin alpha6-beta4 complex
GO:0034677	integrin alpha7-beta1 complex
GO:0034674	integrin alpha5-beta1 complex
GO:0072559	NLRP3 inflammasome complex
GO:0072558	NLRP1 inflammasome complex
GO:0072557	IPAF inflammasome complex
GO:1990435	upper tip-link density
GO:0070938	contractile ring
GO:0009897	external side of plasma membrane
GO:0030688	preribosome, small subunit precursor
GO:0000308	cytoplasmic cyclin-dependent protein kinase holoenzyme complex
GO:0000811	GINS complex
GO:0000307	cyclin-dependent protein kinase holoenzyme complex
GO:0000306	extrinsic component of vacuolar membrane
GO:0030687	preribosome, large subunit precursor
GO:0030686	90S preribosome
GO:0009898	cytoplasmic side of plasma membrane
GO:1990617	CHOP-ATF4 complex
GO:0030175	filopodium
GO:0030176	integral component of endoplasmic reticulum membrane
GO:0030173	integral component of Golgi membrane
GO:1990907	beta-catenin-TCF complex
GO:1990184	amino acid transport complex
GO:0070937	CRD-mediated mRNA stability complex
GO:0005654	nucleoplasm
GO:0005655	nucleolar ribonuclease P complex
GO:0005656	nuclear pre-replicative complex
GO:0005657	replication fork
GO:0005652	nuclear lamina
GO:0043020	NADPH oxidase complex
GO:0043025	neuronal cell body
GO:0097418	neurofibrillary tangle
GO:1902737	dendritic filopodium
GO:0036513	Derlin-1 retrotranslocation complex
GO:0031314	extrinsic component of mitochondrial inner membrane
GO:0031315	extrinsic component of mitochondrial outer membrane
GO:0031312	extrinsic component of organelle membrane
GO:1990769	proximal neuron projection
GO:1990761	growth cone lamellipodium
GO:0035098	ESC/E(Z) complex
GO:0031084	BLOC-2 complex
GO:0031085	BLOC-3 complex
GO:1990298	bub1-bub3 complex
GO:0031083	BLOC-1 complex
GO:0031080	nuclear pore outer ring
GO:0072380	TRC complex
GO:0106068	SUMO ligase complex
GO:0035097	histone methyltransferase complex
GO:0031089	platelet dense granule lumen
GO:0098837	postsynaptic recycling endosome
GO:0002199	zona pellucida receptor complex
GO:0098833	presynaptic endocytic zone
GO:0098830	presynaptic endosome
GO:0098831	presynaptic active zone cytoplasmic component
GO:0030126	COPI vesicle coat
GO:0002193	MAML1-RBP-Jkappa- ICN1 complex
GO:0098839	postsynaptic density membrane
GO:0031511	Mis6-Sim4 complex
GO:0031228	intrinsic component of Golgi membrane
GO:0061829	basal tubulobulbar complex
GO:0061828	apical tubulobulbar complex
GO:0061825	podosome core
GO:0061827	sperm head
GO:0042645	mitochondrial nucleoid
GO:0031226	intrinsic component of plasma membrane
GO:0031227	intrinsic component of endoplasmic reticulum membrane
GO:0031224	intrinsic component of membrane
GO:0042641	actomyosin
GO:0000125	PCAF complex
GO:0000124	SAGA complex
GO:0045177	apical part of cell
GO:0000126	transcription factor TFIIIB complex
GO:0045171	intercellular bridge
GO:0000120	RNA polymerase I transcription regulator complex
GO:0000123	histone acetyltransferase complex
GO:0045179	apical cortex
GO:0045178	basal part of cell
GO:0099634	postsynaptic specialization membrane
GO:0099631	postsynaptic endocytic zone cytoplasmic component
GO:0140275	MIB complex
GO:0008328	ionotropic glutamate receptor complex
GO:0099013	neuronal dense core vesicle lumen
GO:0099012	neuronal dense core vesicle membrane
GO:0045211	postsynaptic membrane
GO:0044316	cone cell pedicle
GO:0031428	box C/D RNP complex
GO:0031429	box H/ACA snoRNP complex
GO:0031422	RecQ family helicase-topoisomerase III complex
GO:0005641	nuclear envelope lumen
GO:0071944	cell periphery
GO:0016939	kinesin II complex
GO:0071942	XPC complex
GO:0016935	glycine-gated chloride channel complex
GO:1905370	serine-type endopeptidase complex
GO:0036029	protein C inhibitor-KLK3 complex
GO:0036028	protein C inhibitor-thrombin complex
GO:0044228	host cell surface
GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane
GO:0036021	endolysosome lumen
GO:0036020	endolysosome membrane
GO:0070702	inner mucus layer
GO:0070703	outer mucus layer
GO:0044224	juxtaparanode region of axon
GO:0044225	apical pole of neuron
GO:0097014	ciliary plasm
GO:1990696	USH2 complex
GO:0032039	integrator complex
GO:0000444	MIS12/MIND type complex
GO:0000445	THO complex part of transcription export complex
GO:0000938	GARP complex
GO:0000939	condensed chromosome inner kinetochore
GO:0071541	eukaryotic translation initiation factor 3 complex, eIF3m
GO:0071540	eukaryotic translation initiation factor 3 complex, eIF3e
GO:0000932	P-body
GO:0071546	pi-body
GO:0000930	gamma-tubulin complex
GO:0000931	gamma-tubulin large complex
GO:0036449	microtubule minus-end
GO:0032144	4-aminobutyrate transaminase complex
GO:0043527	tRNA methyltransferase complex
GO:0016593	Cdc73/Paf1 complex
GO:0016592	mediator complex
GO:0016591	RNA polymerase II, holoenzyme
GO:0016590	ACF complex
GO:0016028	rhabdomere
GO:0016021	integral component of membrane
GO:0016020	membrane
GO:1990971	EMILIN complex
GO:0036379	myofilament
GO:0030690	Noc1p-Noc2p complex
GO:0097649	A axonemal microtubule
GO:0043235	receptor complex
GO:0043231	intracellular membrane-bounded organelle
GO:0031304	intrinsic component of mitochondrial inner membrane
GO:0044545	NSL complex
GO:0034687	integrin alphaL-beta2 complex
GO:0034686	integrin alphav-beta8 complex
GO:0034685	integrin alphav-beta6 complex
GO:0060201	clathrin-sculpted acetylcholine transport vesicle membrane
GO:0034683	integrin alphav-beta3 complex
GO:0034681	integrin alpha11-beta1 complex
GO:0034680	integrin alpha10-beta1 complex
GO:1990777	lipoprotein particle
GO:0016442	RISC complex
GO:0034689	integrin alphaX-beta2 complex
GO:0031300	intrinsic component of organelle membrane
GO:0034066	Ric1-Rgp1 guanyl-nucleotide exchange factor complex
GO:0031302	intrinsic component of endosome membrane
GO:0070985	transcription factor TFIIK complex
GO:0034669	integrin alpha4-beta7 complex
GO:0034668	integrin alpha4-beta1 complex
GO:0034663	endoplasmic reticulum chaperone complex
GO:0034665	integrin alpha1-beta1 complex
GO:0002169	3-methylcrotonyl-CoA carboxylase complex, mitochondrial
GO:0034666	integrin alpha2-beta1 complex
GO:0072562	blood microparticle
GO:0072563	endothelial microparticle
GO:1990425	ryanodine receptor complex
GO:1990423	RZZ complex
GO:0071133	alpha9-beta1 integrin-ADAM8 complex
GO:1990429	peroxisomal importomer complex
GO:0005584	collagen type I trimer
GO:0031941	filamentous actin
GO:0000333	telomerase catalytic core complex
GO:0030140	trans-Golgi network transport vesicle
GO:0030141	secretory granule
GO:1990357	terminal web
GO:1990604	IRE1-TRAF2-ASK1 complex
GO:0005586	collagen type III trimer
GO:0005587	collagen type IV trimer
GO:0120025	plasma membrane bounded cell projection
GO:0005581	collagen trimer
GO:0005582	collagen type XV trimer
GO:0005643	nuclear pore
GO:0005642	annulate lamellae
GO:0097422	tubular endosome
GO:0005640	nuclear outer membrane
GO:0097427	microtubule bundle
GO:0017087	mitochondrial processing peptidase complex
GO:1990513	CLOCK-BMAL transcription complex
GO:0005588	collagen type V trimer
GO:0120095	vacuole-isolation membrane contact site
GO:0031305	integral component of mitochondrial inner membrane
GO:0060203	clathrin-sculpted glutamate transport vesicle membrane
GO:0031307	integral component of mitochondrial outer membrane
GO:0031306	intrinsic component of mitochondrial outer membrane
GO:0031301	integral component of organelle membrane
GO:0035339	SPOTS complex
GO:0031303	integral component of endosome membrane
GO:0060205	cytoplasmic vesicle lumen
GO:0031309	integral component of nuclear outer membrane
GO:0031095	platelet dense tubular network membrane
GO:0031094	platelet dense tubular network
GO:0031091	platelet alpha granule
GO:0048788	cytoskeleton of presynaptic active zone
GO:0031093	platelet alpha granule lumen
GO:0031092	platelet alpha granule membrane
GO:0071752	secretory dimeric IgA immunoglobulin complex
GO:0048787	presynaptic active zone membrane
GO:0048786	presynaptic active zone
GO:0002189	ribose phosphate diphosphokinase complex
GO:0098826	endoplasmic reticulum tubular network membrane
GO:0089701	U2AF complex
GO:0000118	histone deacetylase complex
GO:0048237	rough endoplasmic reticulum lumen
GO:0031231	intrinsic component of peroxisomal membrane
GO:0000111	nucleotide-excision repair factor 2 complex
GO:0031233	intrinsic component of external side of plasma membrane
GO:0031232	extrinsic component of external side of plasma membrane
GO:0031235	intrinsic component of the cytoplasmic side of the plasma membrane
GO:0031234	extrinsic component of cytoplasmic side of plasma membrane
GO:0140261	BCOR complex
GO:0140268	endoplasmic reticulum-plasma membrane contact site
GO:0099572	postsynaptic specialization
GO:0098554	cytoplasmic side of endoplasmic reticulum membrane
GO:1902501	lysosomal HOPS complex
GO:0098556	cytoplasmic side of rough endoplasmic reticulum membrane
GO:0045202	synapse
GO:0001527	microfibril
GO:0098559	cytoplasmic side of early endosome membrane
GO:0001520	outer dense fiber
GO:0044305	calyx of Held
GO:0044304	main axon
GO:0031431	Dbf4-dependent protein kinase complex
GO:0044306	neuron projection terminus
GO:0044301	climbing fiber
GO:0044300	cerebellar mossy fiber
GO:0044302	dentate gyrus mossy fiber
GO:0044309	neuron spine
GO:0044308	axonal spine
GO:0099154	serotonergic synapse
GO:0042788	polysomal ribosome
GO:0071513	phosphopantothenoylcysteine decarboxylase complex
GO:0090443	FAR/SIN/STRIPAK complex
GO:1905347	endodeoxyribonuclease complex
GO:0036019	endolysosome
GO:0044233	mitochondria-associated endoplasmic reticulum membrane
GO:0044232	organelle membrane contact site
GO:1990531	phospholipid-translocating ATPase complex
GO:0032021	NELF complex
GO:0035061	interchromatin granule
GO:0000110	nucleotide-excision repair factor 1 complex
GO:0090533	cation-transporting ATPase complex
GO:0090537	CERF complex
GO:0000112	nucleotide-excision repair factor 3 complex
GO:0090534	calcium ion-transporting ATPase complex
GO:0043657	host cell
GO:0000923	equatorial microtubule organizing center
GO:0000922	spindle pole
GO:0032444	activin responsive factor complex
GO:1990124	messenger ribonucleoprotein complex
GO:0032449	CBM complex
GO:0032153	cell division site
GO:0032154	cleavage furrow
GO:0032156	septin cytoskeleton
GO:0019907	cyclin-dependent protein kinase activating kinase holoenzyme complex
GO:0019908	nuclear cyclin-dependent protein kinase holoenzyme complex
GO:0033553	rDNA heterochromatin
GO:0033557	Slx1-Slx4 complex
GO:0060987	lipid tube
GO:0016272	prefoldin complex
GO:0034274	Atg12-Atg5-Atg16 complex
GO:0071261	Ssh1 translocon complex
GO:0034272	phosphatidylinositol 3-kinase complex, class III, type II
GO:0034271	phosphatidylinositol 3-kinase complex, class III, type I
GO:0098985	asymmetric, glutamatergic, excitatory synapse
GO:0043229	intracellular organelle
GO:0043220	Schmidt-Lanterman incisure
GO:0043227	membrane-bounded organelle
GO:0071664	catenin-TCF7L2 complex
GO:0071665	gamma-catenin-TCF7L2 complex
GO:0016471	vacuolar proton-transporting V-type ATPase complex
GO:0035253	ciliary rootlet
GO:0034098	VCP-NPL4-UFD1 AAA ATPase complex
GO:0034657	GID complex
GO:0097255	R2TP complex
GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain
GO:0033179	proton-transporting V-type ATPase, V0 domain
GO:0071062	alphav-beta3 integrin-vitronectin complex
GO:0071065	alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex
GO:0033176	proton-transporting V-type ATPase complex
GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain
GO:0031932	TORC2 complex
GO:0000322	storage vacuole
GO:0031931	TORC1 complex
GO:1904813	ficolin-1-rich granule lumen
GO:0042272	nuclear RNA export factor complex
GO:0005638	lamin filament
GO:0005639	integral component of nuclear inner membrane
GO:0005637	nuclear inner membrane
GO:0005634	nucleus
GO:0005635	nuclear envelope
GO:0097433	dense body
GO:0097431	mitotic spindle pole
GO:0017090	meprin A complex
GO:0005595	collagen type XII trimer
GO:0043005	neuron projection
GO:1990565	HSP90-CDC37 chaperone complex
GO:0060187	cell pole
GO:0009328	phenylalanine-tRNA ligase complex
GO:0009986	cell surface
GO:0000214	tRNA-intron endonuclease complex
GO:0005594	collagen type IX trimer
GO:0035327	transcriptionally active chromatin
GO:1990701	integral component of endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane
GO:0061617	MICOS complex
GO:0008043	intracellular ferritin complex
GO:0005774	vacuolar membrane
GO:0005742	mitochondrial outer membrane translocase complex
GO:0005743	mitochondrial inner membrane
GO:0005740	mitochondrial envelope
GO:0005741	mitochondrial outer membrane
GO:0005746	mitochondrial respirasome
GO:0005747	mitochondrial respiratory chain complex I
GO:0005744	TIM23 mitochondrial import inner membrane translocase complex
GO:0005745	m-AAA complex
GO:0005749	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)
GO:0089717	spanning component of membrane
GO:1903754	cortical microtubule plus-end
GO:0031209	SCAR complex
GO:0000109	nucleotide-excision repair complex
GO:0031205	endoplasmic reticulum Sec complex
GO:0031207	Sec62/Sec63 complex
GO:0031201	SNARE complex
GO:0070822	Sin3-type complex
GO:0070821	tertiary granule membrane
GO:0070820	tertiary granule
GO:0070826	paraferritin complex
GO:0106139	symbiont cell surface
GO:1990385	meiotic spindle midzone
GO:0098966	perisynaptic extracellular matrix
GO:0098560	cytoplasmic side of late endosome membrane
GO:0099569	presynaptic cytoskeleton
GO:0099568	cytoplasmic region
GO:0044307	dendritic branch
GO:0031430	M band
GO:0001534	radial spoke
GO:0001536	radial spoke stalk
GO:0001533	cornified envelope
GO:0031436	BRCA1-BARD1 complex
GO:0099144	anchored component of synaptic membrane
GO:0099147	extrinsic component of postsynaptic density membrane
GO:0098998	extrinsic component of postsynaptic early endosome membrane
GO:0051286	cell tip
GO:1990622	CHOP-ATF3 complex
GO:0008275	gamma-tubulin small complex
GO:0016914	follicle-stimulating hormone complex
GO:0008278	cohesin complex
GO:0070724	BMP receptor complex
GO:0080008	Cul4-RING E3 ubiquitin ligase complex
GO:0072589	box H/ACA scaRNP complex
GO:0120044	stereocilium base
GO:0032838	plasma membrane bounded cell projection cytoplasm
GO:0032839	dendrite cytoplasm
GO:0032783	super elongation complex
GO:0090543	Flemming body
GO:0005879	axonemal microtubule
GO:0032300	mismatch repair complex
GO:0032301	MutSalpha complex
GO:0032302	MutSbeta complex
GO:0070033	synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex
GO:0038143	ERBB3
GO:0033017	sarcoplasmic reticulum membrane
GO:0090498	extrinsic component of Golgi membrane
GO:0071986	Ragulator complex
GO:0033011	perinuclear theca
GO:0033010	paranodal junction
GO:0032010	phagolysosome
GO:0071458	integral component of cytoplasmic side of endoplasmic reticulum membrane
GO:0032545	CURI complex
GO:0032541	cortical endoplasmic reticulum
GO:0030896	checkpoint clamp complex
GO:0046540	U4/U6 x U5 tri-snRNP complex
GO:0030894	replisome
GO:0030895	apolipoprotein B mRNA editing enzyme complex
GO:0030892	mitotic cohesin complex
GO:0030893	meiotic cohesin complex
GO:0030891	VCB complex
GO:0005666	RNA polymerase III complex
GO:0043259	laminin-10 complex
GO:0043256	laminin complex
GO:0043257	laminin-8 complex
GO:0016461	unconventional myosin complex
GO:0016460	myosin II complex
GO:0016469	proton-transporting two-sector ATPase complex
GO:0034466	chromaffin granule lumen
GO:0034464	BBSome
GO:0061574	ASAP complex
GO:0015934	large ribosomal subunit
GO:0015935	small ribosomal subunit
GO:0099073	mitochondrion-derived vesicle
GO:0097228	sperm principal piece
GO:0070369	beta-catenin-TCF7L2 complex
GO:0097226	sperm mitochondrial sheath
GO:0097227	sperm annulus
GO:0097224	sperm connecting piece
GO:0097225	sperm midpiece
GO:0033167	ARC complex
GO:0033165	interphotoreceptor matrix
GO:0033162	melanosome membrane
GO:0031143	pseudopodium
GO:0045271	respiratory chain complex I
GO:0035686	sperm fibrous sheath
GO:0005622	intracellular anatomical structure
GO:0097136	Bcl-2 family protein complex
GO:1990578	perinuclear endoplasmic reticulum membrane
GO:0097134	cyclin E1-CDK2 complex
GO:0097135	cyclin E2-CDK2 complex
GO:1990572	TERT-RMRP complex
GO:0009331	glycerol-3-phosphate dehydrogenase complex
GO:0009330	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex
GO:0045095	keratin filament
GO:0045092	interleukin-18 receptor complex
GO:0035354	Toll-like receptor 1-Toll-like receptor 2 protein complex
GO:1990716	axonemal central apparatus
GO:1990712	HFE-transferrin receptor complex
GO:1990718	axonemal central pair projection
GO:0030526	granulocyte macrophage colony-stimulating factor receptor complex
GO:0098800	inner mitochondrial membrane protein complex
GO:0097356	perinucleolar compartment
GO:0030315	T-tubule
GO:0005753	mitochondrial proton-transporting ATP synthase complex
GO:0005754	mitochondrial proton-transporting ATP synthase, catalytic core
GO:0005757	mitochondrial permeability transition pore complex
GO:0005759	mitochondrial matrix
GO:0005758	mitochondrial intermembrane space
GO:0031213	RSF complex
GO:1990008	neurosecretory vesicle
GO:1903561	extracellular vesicle
GO:1990005	granular vesicle
GO:0042470	melanosome
GO:0070852	cell body fiber
GO:1990391	DNA repair complex
GO:1990393	3M complex
GO:0098797	plasma membrane protein complex
GO:0098796	membrane protein complex
GO:0005577	fibrinogen complex
GO:0005576	extracellular region
GO:0098793	presynapse
GO:0098978	glutamatergic synapse
GO:0005579	membrane attack complex
GO:0098799	outer mitochondrial membrane protein complex
GO:0022626	cytosolic ribosome
GO:0022627	cytosolic small ribosomal subunit
GO:0022624	proteasome accessory complex
GO:0022625	cytosolic large ribosomal subunit
GO:0098577	inactive sex chromosome
GO:0098576	lumenal side of membrane
GO:0098575	lumenal side of lysosomal membrane
GO:0098574	cytoplasmic side of lysosomal membrane
GO:0070939	Dsl1/NZR complex
GO:1902560	GMP reductase complex
GO:1902562	H4 histone acetyltransferase complex
GO:0044327	dendritic spine head
GO:0044326	dendritic spine neck
GO:0044853	plasma membrane raft
GO:0070931	Golgi-associated vesicle lumen
GO:0044322	endoplasmic reticulum quality control compartment
GO:0032437	cuticular plate
GO:0098842	postsynaptic early endosome
GO:0008247	1-alkyl-2-acetylglycerophosphocholine esterase complex
GO:0099192	cerebellar Golgi cell to granule cell synapse
GO:0044214	spanning component of plasma membrane
GO:0043529	GET complex
GO:0032798	Swi5-Sfr1 complex
GO:0032797	SMN complex
GO:1990812	growth cone filopodium
GO:1990811	MWP complex
GO:0043679	axon terminus
GO:0032311	angiogenin-PRI complex
GO:0005583	fibrillar collagen trimer
GO:0032173	septin collar
GO:0070209	ASTRA complex
GO:0070449	elongin complex
GO:1990923	PET complex
GO:0032009	early phagosome
GO:0032002	interleukin-28 receptor complex
GO:0070110	ciliary neurotrophic factor receptor complex
GO:0030880	RNA polymerase complex
GO:0101004	cytolytic granule membrane
GO:0101003	ficolin-1-rich granule membrane
GO:0070436	Grb2-EGFR complex
GO:0019815	B cell receptor complex
GO:0019814	immunoglobulin complex
GO:0043240	Fanconi anaemia nuclear complex
GO:0030956	glutamyl-tRNA(Gln) amidotransferase complex
GO:0098685	Schaffer collateral - CA1 synapse
GO:0044599	AP-5 adaptor complex
GO:0061831	apical ectoplasmic specialization
GO:0016328	lateral plasma membrane
GO:0016324	apical plasma membrane
GO:0030314	junctional membrane complex
GO:0016327	apicolateral plasma membrane
GO:0016323	basolateral plasma membrane
GO:0061742	chaperone-mediated autophagy translocation complex
GO:0002080	acrosomal membrane
GO:0002081	outer acrosomal membrane
GO:0097234	epidermal lamellar body membrane
GO:0097233	alveolar lamellar body membrane
GO:0097232	lamellar body membrane
GO:0033193	Lsd1/2 complex
GO:0016528	sarcoplasm
GO:0016529	sarcoplasmic reticulum
GO:0044666	MLL3/4 complex
GO:0060342	photoreceptor inner segment membrane
GO:0017122	protein N-acetylglucosaminyltransferase complex
GO:0035693	NOS2-CD74 complex
GO:0035692	macrophage migration inhibitory factor receptor complex
GO:1990498	mitotic spindle microtubule
GO:0005610	laminin-5 complex
GO:0005960	glycine cleavage complex
GO:0005614	interstitial matrix
GO:0005615	extracellular space
GO:0005964	phosphorylase kinase complex
GO:0005965	protein farnesyltransferase complex
GO:0005968	Rab-protein geranylgeranyltransferase complex
GO:0005969	serine-pyruvate aminotransferase complex
GO:0097123	cyclin A1-CDK2 complex
GO:0097125	cyclin B1-CDK1 complex
GO:0097124	cyclin A2-CDK2 complex
GO:0097129	cyclin D2-CDK4 complex
GO:0031680	G-protein beta/gamma-subunit complex
GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)
GO:0000274	mitochondrial proton-transporting ATP synthase, stator stalk
GO:1990723	cytoplasmic periphery of the nuclear pore complex
GO:1990726	Lsm1-7-Pat1 complex
GO:0031045	dense core granule
GO:0120103	centriolar subdistal appendage
GO:0005967	mitochondrial pyruvate dehydrogenase complex
GO:0030532	small nuclear ribonucleoprotein complex
GO:0005764	lysosome
GO:0005765	lysosomal membrane
GO:0005767	secondary lysosome
GO:0005760	gamma DNA polymerase complex
GO:0005761	mitochondrial ribosome
GO:0005762	mitochondrial large ribosomal subunit
GO:0005763	mitochondrial small ribosomal subunit
GO:0005768	endosome
GO:0005769	early endosome
GO:0097182	protein C inhibitor-coagulation factor Xa complex
GO:0043189	H4/H2A histone acetyltransferase complex
GO:0031594	neuromuscular junction
GO:0031595	nuclear proteasome complex
GO:0031264	death-inducing signaling complex
GO:0031265	CD95 death-inducing signaling complex
GO:0031262	Ndc80 complex
GO:0031592	centrosomal corona
GO:0036488	CHOP-C/EBP complex
GO:1990037	Lewy body core
GO:1990030	pericellular basket
GO:1990031	pinceau fiber
GO:1990032	parallel fiber
GO:0070847	core mediator complex
GO:1902773	GTPase activator complex
GO:1905202	methylcrotonoyl-CoA carboxylase complex
GO:0099503	secretory vesicle
GO:1902554	serine/threonine protein kinase complex
GO:0008076	voltage-gated potassium channel complex
GO:0008074	guanylate cyclase complex, soluble
