C0220597	Adult Hodgkin Lymphoma
C3496337	Idiopathic Nephrotic Syndrome
C0178238	Intestinal infectious disease (disorder)
C0024713	Manic Disorder
C0586407	Skin symptom
C1968782	MYOPATHY, CONGENITAL, WITH EXCESS OF MUSCLE SPINDLES
C0403601	Transplant glomerulopathy
C1846843	EPIPHYSEAL DYSPLASIA, MULTIPLE, 5
C3862275	SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO
C2750888	EPILEPSY, JUVENILE MYOCLONIC, SUSCEPTIBILITY TO, 6
C2750887	EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 9
C1333482	Exaggerated placental site
C0311468	Increased bilirubin level (finding)
C1842161	Scapuloperoneal weakness
C1842160	MYOPATHY, MYOSIN STORAGE (disorder)
C1842162	Scapuloperoneal amyotrophy
C0079840	Milk Allergy
C0854242	Gastrointestinal angiodysplasia
C0338375	Aseptic peritonitis
C4086152	Childhood Astrocytoma
C1318973	Staphylococcus aureus infection
C4525546	Chicken Lymphoma
C4525544	Walleye Dermal Sarcoma
C4023641	Abnormality of the upper urinary tract
C1969785	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2L (disorder)
C4525548	Fish Melanoma
C1969783	Persistent Hyperplastic Primary Vitreous, Autosomal Recessive
C1401781	Short uvula
C0852862	Perinatal brain damage
C0852866	Cervical cord compression
C1955871	Cobblestone Complex
C1519346	Skin Carcinogenesis
C2751683	Hirschsprung disease ganglioneuroblastoma
C2751681	NEUROBLASTOMA, SUSCEPTIBILITY TO, 3
C2751686	Lymphoproliferative Syndrome, Ebv-Associated, Autosomal, 1
C4020848	Aneurysmal disease
C0333189	Cicatricial stenosis
C4015776	ANALBUMINEMIA BAGHDAD
C4020847	Abnormality of pelvic girdle bone morphology
C1861141	Abnormality of the middle ear
C4539767	EXUDATIVE VITREORETINOPATHY 7
C0241266	Subcutaneous Abscess
C0241267	Absence of subcutaneous fat
C3553929	PEROXISOME BIOGENESIS DISORDER 3A (ZELLWEGER)
C0022716	Menkes Kinky Hair Syndrome
C1264610	Infectious peritonitis
C1855767	Reduced natural killer cell count
C0032044	Placenta Accreta
C0032045	Placenta Disorders
C4048158	Convulsions
C1320468	Nephrogenic rest
C4476868	Palpebral thickening
C4476869	Elevated gamma-glutamyltransferase activity
C0474679	Serum ceruloplasmin measurement
C0235820	Neonatal encephalopathy
C1851443	Cerebrooculofacioskeletal Syndrome 3
C2197691	Scrotal hypospadias
C0279070	Adult Oligodendroglioma
C4025569	Eunuchoid habitus
C4025568	Type 1 and type 2 muscle fiber minicore regions
C1834478	MACROTHROMBOCYTOPENIA AND PROGRESSIVE SENSORINEURAL DEAFNESS
C0854983	Lung adenocarcinoma recurrent
C2936459	Nodoventricular Accessory Pathway
C0854985	Adenocarcinoma of lung, stage I
C0854987	Adenocarcinoma of lung, stage III
C0854988	Adenocarcinoma of lung, stage IV
C1848446	C1-C2 subluxation
C1865244	Shallow orbits
C0235587	Lymphadenosis
C0235584	Granulocytopenia severe
C0856636	Transient hemiparesis
C4520822	Stage 0 Colon Cancer AJCC v6 and v7
C4520821	Stage 0 Breast Cancer AJCC v6 and v7
C4329382	B Lymphoblastic Leukemia/Lymphoma, BCR-ABL1-Like
C0542259	Morphological abnormality of the vestibule of the inner ear
C3551381	PEROXISOMAL BIOGENESIS DISORDER 3B
C1968811	Prominent antitragus
C1968816	Broad fingertip
C1968814	Slender ulna
C1856231	Thin calvarium
C0085222	Psoas Abscess
C1096368	Decreased mean platelet volume
C1096367	Increased mean platelet volume
C0477324	Other combined immunodeficiencies
C0477325	Immunodeficiency associated with other specified major defects
C2987488	Erythrodysplasia
C0149922	Lichen Simplex Chronicus
C0149927	Hamartoma of lung
C3273225	Hereditary Neurodegenerative Disorder
C0750175	Ventral incisional hernia
C4285990	Aeromonas caviae infection
C1857728	Hereditary Angioedema Type III
C0234182	Gowers sign
C4304578	1p21.3 microdeletion syndrome
C1704436	Peripheral Arterial Diseases
C1704430	Urinary Schistosomiasis
C3714899	SYMPHALANGISM, PROXIMAL, 1A
C0079541	Holoprosencephaly
C3714897	SPASTIC PARAPLEGIA 57, AUTOSOMAL RECESSIVE
C1262760	Hepatitis, Drug-Induced
C0270804	Spastic Diplegia Cerebral Palsy
C0270805	Hemiplegic cerebral palsy
C0270807	Monoplegic Cerebral Palsy
C0270800	Autonomic hyperreflexia of bladder
C4703714	Periocular capillary hemangioma
C0242596	Neoplasm, Residual
C0268837	Cystitis glandularis
C4540266	GALLOWAY-MOWAT SYNDROME 3
C4540265	NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IX
C1857180	Enlargement of the costochondral junction
C1857186	Iliac crest serration
C3146257	Stage II Colon Cancer AJCC v7
C4745272	Locally Advanced Pancreatic Ductal Adenocarcinoma
C2697933	Loeys-Dietz Syndrome Type 1
C2697932	Loeys-Dietz Syndrome
C1970009	SPASTIC PARAPLEGIA 32, AUTOSOMAL RECESSIVE
C1970005	Asphyxiating Thoracic Dystrophy 2
C0239676	High forehead
C3888244	AICARDI-GOUTIERES SYNDROME 7
C1861975	Cafe au lait spots, multiple
C1858980	Platelet antibody positive
C1858981	Antineutrophil antibody positivity
C0857516	Floppy
C1567744	Alport Syndrome, Autosomal Recessive
C1867487	Childhood onset short-limb short stature
C1567742	Alport Syndrome, X-Linked
C1567741	Alport Syndrome
C1832168	BLOOD GROUP--FROESE
C1832162	HYPOTRICHOSIS, CONGENITAL, WITH JUVENILE MACULAR DYSTROPHY
C1832160	Abnormality of temperature regulation
C1832167	Ectopia Lentis, Spontaneous Filtering Blebs, and Craniofacial Dysmorphism
C0334067	Non-Ossifying Fibroma
C4014814	MYOPATHY, CENTRONUCLEAR, 5
C0523560	VLDL cholesterol measurement
C1136082	Embryo Disintegration
C1136084	Plasma cell dyscrasia
C1136085	Monoclonal Gammapathies
C0275974	Glandular tularemia
C4552517	Hereditary angioedema with normal C1 inhibitor
C1318562	Infantile digital fibromatosis
C4552513	Temporomandibular joint osteoarthritis
C4552512	Neurocognitive deficit
C1168250	Laryngopharyngeal Reflux
C3152204	MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 8
C4076349	Chronic alcoholic liver disease
C4522181	Brachial Amyotrophic Diplegia
C0334398	Malignant Ovarian Thecoma
C1866284	Motor deterioration
C1866282	CEROID LIPOFUSCINOSIS, NEURONAL, 6
C0334392	Epithelial-myoepithelial carcinoma
C1873509	Hypotrichosis of the scalp
C0334390	Acinar cell tumor
C3281234	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 9
C0232744	Decreased liver function
C3281236	DYSTONIA 21
C0019054	Hemolysis (disorder)
C0853879	Invasive carcinoma of breast
C0019050	Hemoglobinuria, Paroxysmal
C0349623	Primary Melanocytic Lesion of Meninges
C1302652	Adenoma of rectum
C0349620	Pilocytic astrocytoma of cerebellum
C0853877	Fistula of genitourinary tract
C4748120	SPINOCEREBELLAR ATAXIA 42, EARLY-ONSET, SEVERE, WITH NEURODEVELOPMENTAL DEFICITS
C1708903	Malignant Proliferating Pilar Tumor
C3150773	CHROMOSOME 8p11 MYELOPROLIFERATIVE SYNDROME
C1866753	Impaired horizontal smooth pursuit
C4748940	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1G
C1456873	alpha^+^ Thalassemia
C4748946	CARDIAC-UROGENITAL SYNDROME
C0238232	Polyp of larynx
C0344616	Congenitally corrected transposition of the great arteries
C0234966	Astasia
C0238239	Light chain disease
C0577608	C4 complement assay (procedure)
C0542165	Pseudoparkinsonism
C1275239	Dermatomyofibroma
C3160891	Hormone-dependent prostate cancer
C3160895	Uncomplicated infection
C3160897	Opioid-Induced Constipation
C1275237	Storiform collagenoma
C1275236	Fibroma of tendon sheath
C0871215	Reading Disabilities
C4023588	Abnormality of the gastrointestinal tract
C0268016	Chronic hypokalemia
C1827894	Upper urinary tract infection
C4310923	BARTTER SYNDROME, TYPE 4B, WITH SENSORINEURAL DEAFNESS
C4022114	Aplasia/hypoplasia of the proximal phalanx of the 5th toe
C0795796	Chromosome 1, monosomy 1p
C0344917	Left ventricular outflow tract obstruction
C0344911	Left ventricular dilatation
C0031046	Pericarditis
C0271814	Silent thyroiditis
C0271815	Postpartum Thyroiditis
C0271816	Focal thyroiditis
C2004345	phonological developmental disorder
C0030793	Pelvic Neoplasms
C0030794	Pelvic Pain
C1337036	Renal Cell Carcinoma Associated with Xp11.2 Translocations/TFE3 Gene Fusions
C0345354	Radial polydactyly
C0543645	Heterozygous hemoglobinopathy
C0040479	Torsades de Pointes
C1855240	Irregular tarsal bones
C0221373	Claw hand
C1858628	Increased red cell osmotic resistance
C3554638	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 11
C1842362	HERMANSKY-PUDLAK SYNDROME 2
C0265279	Kniest dysplasia
C0332573	Macule
C1844806	Weight less than 3rd percentile
C3714630	Respirovirus Infections
C0265273	Achondrogenesis type 1A
C0265275	Jeune thoracic dystrophy
C0265274	Achondrogenesis, type IB (disorder)
C0598480	intestinal angiodysplasia
C0340324	Silent myocardial infarction
C0006818	Campylobacter infection
C0206604	Arterivirus Infections
C0585052	Chronic sciatica
C4302102	Malaria caused by Plasmodium not Plasmodium falciparum
C4024612	Tibialis muscle weakness
C4024613	Progressive distal muscular atrophy
C4024610	Leg muscle stiffness
C4024611	Nonprogressive muscular atrophy
C4024617	Hypoplastic ischiopubic rami
C3891815	Arthritis, Suppurative
C4024615	Adipose tissue loss
C4015779	PROSTATE CANCER, SOMATIC
C4024618	Large iliac wings
C4024619	Broad femoral head
C2676739	Chromosome 2q32-Q33 Deletion Syndrome
C4025566	Muscle abnormality related to mitochondrial dysfunction
C4025565	Late-onset distal muscle weakness
C2676732	SPASTIC PARAPLEGIA 38, AUTOSOMAL DOMINANT (disorder)
C0423772	Cutaneous Fistula
C0423773	Scaly skin
C0423775	Scurfiness of scalp
C0423776	Palmar pit
C2129214	Loose stool
C3540764	Coloboma of the Retina
C0598226	Harlequin type ichthyosis
C4023396	Abnormality of hair growth rate
C4023397	Abnormal hair quantity
C4023395	Patchy hypopigmentation of hair
C4023392	Incomplete partition of the cochlea
C4023393	Recurrent viral skin infections
C4023398	Congenital abnormal hair pattern
C4748127	NEURODEVELOPMENTAL DISORDER WITH REGRESSION, ABNORMAL MOVEMENTS, LOSS OF SPEECH, AND SEIZURES
C2700366	Adiponectin Measurement
C1336079	Squamous cell breast carcinoma
C1336078	Papillary renal cell carcinoma, sporadic
C0677730	Aggressive Adult Non-Hodgkin Lymphoma
C1336077	Sporadic Burkitt's lymphoma
C1336076	Sporadic Breast Carcinoma
C1971019	Sodium deficiency (disorder)
C3806670	PAROXYSMAL NOCTURNAL HEMOGLOBINURIA 1
C2014414	orthopedic disorders
C3164407	Oligoasthenozoospermia
C1842366	Low anterior hairline
C1842364	Central hypotonia
C4687546	Metastatic Genitourinary System Carcinoma
C4015904	ACANTHOCYTOSIS DUE TO BAND 3 HT
C0150045	Urge Incontinence
C3543867	Collodion Fetus
C0239882	Head tremor
C0239888	Headache recurrent
C2215101	Acute cerebral ischemia
C0153500	Malignant neoplasm of heart
C0153504	Malignant tumor of mediastinum
C3277426	Lack of facial subcutaneous fat
C1334229	Intestinal Intraepithelial Neoplasia
C4022933	Abnormal protein O-linked glycosylation
C0428545	Serum transferrin measurement
C1842983	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2K
C1842982	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 3, SUSCEPTIBILITY TO
C1842981	NEUROTICISM
C1842984	Charcot-Marie-Tooth Disease, Autosomal Dominant, Type 2k
C0042164	Uveitis
C0042165	Anterior uveitis
C0042166	Uveitis, Intermediate
C0042167	Uveitis, Posterior
C0877173	Food aversion
C0877172	Hematoma, Epidural, Spinal
C3275487	X-linked cerebral, cerebellar, coloboma syndrome
C0346989	Secondary malignant neoplasm of peritoneum
C0028734	Nocturia
C2931245	Bone Marrow failure syndromes
C0152459	Linear atrophy
C0028738	Nystagmus
C0264487	Chronic nonspecific lung disease
C0687720	Central Diabetes Insipidus
C0264480	Bakers' asthma
C1859877	Alopecia universalis congenita
C0600113	Stromal tumor of ovary
C0600114	Testicular stromal tumor
C0496899	Benign neoplasm of brain, unspecified
C4724572	Obstructive apnea
C0522345	Reflex, Acoustic, Abnormal
C4755299	MT-ATP6-related mitochondrial spastic paraplegia
C0022081	Iritis
C4755296	Susceptibility to viral and mycobacterial infection
C0496892	Benign neoplasm of kidney
C0263680	Chronic arthritis
C4531255	Internally nucleated skeletal muscle fibers
C0746351	Benign Lymphoproliferative Disorder
C4521396	Hunger Vital Sign
C3805515	Microorchidism
C0005395	Bile Duct Diseases
C0026706	Mucopolysaccharidosis III
C0026707	Mucopolysaccharidosis IV
C0026705	Mucopolysaccharidosis II
C0026708	Mucopolysaccharidosis V
C0026709	Mucopolysaccharidosis VI
C0494491	Mononeuropathies
C2363896	Hypothalamic diabetes insipidus
C0151908	Dry skin
C0948786	Blanching
C0158623	Congenital anomaly of coronary artery
C0948780	Rhinosinusitis
C0948783	Bronchopulmonary infection
C0151900	Serum iron raised
C0151905	Alanine Aminotransferase Increased
C0151904	Aspartate Aminotransferase Increased
C0158629	Congenital anomaly of aortic arch
C0017665	Membranous glomerulonephritis
C0017667	Nodular glomerulosclerosis
C0017661	IGA Glomerulonephritis
C0017662	Glomerulonephritis, Membranoproliferative
C0017668	Focal glomerulosclerosis
C4255043	Microphthalmos co-occurrent with congenital ocular coloboma
C1562028	Undifferentiated inflammatory arthritis
C1096560	Infection caused by Malassezia
C0029464	Osteosclerosis
C0005398	Cholestasis, Extrahepatic
C0393807	Hereditary motor and sensory neuropathy with optic atrophy (disorder)
C0393808	Charcot-Marie-Tooth disease, X-linked, 1
C3495591	Charcot-Marie-Tooth Disease, Demyelinating, Type 1e
C1298180	Single tumor
C3887487	Postaxial polydactyly type A
C3887485	MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1
C4022454	Abnormality of upper limb bone
C0740903	allergic symptom
C0740905	allergy chronic
C3887489	Clubbing of toes
C1998083	Inflammatory acne
C1851936	Paroxysmal choreoathetosis
C3280358	Wolfram-Like Syndrome, Autosomal Dominant
C1334008	High Grade Sarcoma
C1847720	Hypermethioninemia due to deficiency of glycine N-methyltransferase
C1334003	Barretts esophagus with high grade dysplasia
C0559506	Neonatal unconjugated hyperbilirubinemia
C0027073	Myofascial Pain Syndromes
C0302592	Cervix carcinoma
C0027070	Myoepithelioma
C1839988	Ichthyosis follicularis atrichia photophobia syndrome
C1112574	Granulomatous ileocolitis
C1112576	Antral ulcer
C1112570	Paraneoplastic pemphigus
C4024110	Abnormality of the 5th metacarpal
C1865926	Infantile convulsions and paroxysmal choreoathetosis, familial (disorder)
C4728121	Rebound hyperacidity
C4728123	Infantile fibromatosis
C4022253	Fragmented epiphyses
C1288350	Subretinal membrane
C1843116	Bile acid synthesis defect, congenital, 1
C1843112	Broad nail
C1287365	Bilirubin level result
C3553328	UV-SENSITIVE SYNDROME 3
C4017847	METACHROMATIC LEUKODYSTROPHY, MILD
C0410480	Avascular Necrosis of Femur Head
C3888458	Enterovirus myocarditis
C1868616	Parastremmatic dwarfism
C0752048	Hypocatalasemia
C1868619	Paramyotonia Congenita Without Cold Paralysis
C1859833	Granular osmiophilic deposits (GROD) in cells
C1863734	Caudal interpedicular narrowing
C0702266	Basophilia
C1863732	Spondyloepimetaphyseal dysplasia with multiple dislocations
C1401086	Peripheral Vascular Insufficiency
C1401084	Ovarian Insufficiency
C1863739	Narrow femoral neck
C0008449	Congenital anomaly of cartilage
C0010232	Cowpox
C0008441	Chondroblastoma
C0024031	Low Back Pain
C0859021	Hyperthymic state
C0859023	Talkativeness
C4551497	Ehlers-Danlos syndrome kyphoscoliotic type
C4551495	Hypophosphatemic Rickets, Autosomal Recessive, 1
C1141890	Congenital long QT syndrome
C4551493	Situs inversus totalis
C4551492	Micropenis
C4012409	PITUITARY ADENOMA 2, GROWTH HORMONE-SECRETING
C3553813	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 8
C0019214	Hepatosplenomegaly
C0019212	Hepatorenal Syndrome
C0015773	Felty Syndrome
C0282193	Iron Overload
C4017156	MCARDLE DISEASE, MILD
C4017152	MAPLE SYRUP URINE DISEASE, INTERMEDIATE, TYPE IA
C0477506	Other specified nonscarring hair loss
C1866510	Discolored lateral incisors
C0400943	Cirrhosis - non-alcoholic
C3711391	6q24-Related Transient Neonatal Diabetes Mellitus
C3711390	9q22.3 Microdeletion
C1862463	Aryl Hydrocarbon Hydroxylase Inducibility
C3696962	Coronary microvascular dysfunction
C1704383	Primary Lung Lymphoma
C1704380	Distal Renal Tubular Acidosis
C1997362	Nonneurogenic neurogenic bladder dysfunction
C0025349	Menstruation, Retrograde
C0730525	Chronic Post-Traumatic Stress Disorder
C4280733	Abnormal cardiac ventricular function
C1510489	Cerebral Amyloid Angiopathy, Hereditary
C4280734	Facet joint arthrosis
C4280737	Large elbow
C4280736	Large knee
C2751493	Cerebral Amyloid Angiopathy, Gsn-Related
C1707439	Colorectal Mucinous Adenocarcinoma
C0003537	Aphasia
C1328544	Tubular breast carcinoma
C2751494	CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED, ARCTIC VARIANT
C0002018	Alexia
C2231324	Brucellosis, Pulmonary
C1840420	Metatarsal diaphyseal endosteal sclerosis
C4538604	Alpha-aminoadipic aciduria
C1844562	Medial flaring of the eyebrow
C1858043	Hydronephrosis, Congenital, with Cleft Palate, Characteristic Facies, Hypotonia, and Mental Retardation
C1858042	Becker Nevus Syndrome
C0867389	Chronic graft-versus-host disease
C0087012	Ataxia, Spinocerebellar
C1968592	Abnormal calcification of the carpal bones
C3711645	Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency
C0403416	Idiopathic crescentic glomerulonephritis
C0403414	Acute post-streptococcal glomerulonephritis
C1290049	Plaque morphea
C1265776	Diffuse telangiectasis
C1854245	Basal cell carcinoma, multiple
C1291390	Deficiency of phosphorylase kinase
C1527258	Infantile paralysis
C1264422	Blister with infection
C4016403	BLADDER CANCER, TRANSITIONAL CELL, SOMATIC
C4016400	LUNG CANCER, SOMATIC
C0857828	Infection in the elderly
C4016406	COLON CANCER, ADVANCED, SOMATIC
C1849618	Accelerated atherosclerosis
C4755297	Somatomammotropinoma
C4042906	Mammary Analogue Secretory Carcinoma
C3553887	OSTEOGENESIS IMPERFECTA, TYPE XIII
C3553886	MICROCEPHALY 9, PRIMARY, AUTOSOMAL RECESSIVE
C3179455	Niemann-Pick Disease, Type C1
C0268562	Hyperglycinemia, Nonketotic, Type II
C0268563	Sarcosinemia
C0268560	Hyperglycinemia, Transient Neonatal
C0268561	Hyperglycinemia, Nonketotic, Type I
C0268568	Classic Maple Syrup Urine Disease
C0268569	Intermittent Maple Syrup Urine Disease
C0243000	Impotence, Vasculogenic
C0476369	Echocardiogram abnormal
C1855483	Progressive spastic paraplegia
C1855480	Pulmonary lymphangiectasia
C4021723	Short middle phalanx of toe
C0339182	Ankyloblepharon
C4021725	Reduced activity of N-acetylglucosaminyltransferase II
C4021724	Cytochrome C oxidase-negative muscle fibers
C4021727	EMG: neuropathic changes
C4021726	EMG: myopathic abnormalities
C4021729	Increased VLDL cholesterol concentration
C4021728	EMG: decremental response of compound muscle action potential to repetitive nerve stimulation
C2349419	Cluster headaches and other trigeminal autonomic cephalgias
C3552824	Enhancement of the C-reflex
C3552825	Jerk-locked premyoclonus spikes
C1864923	Northern epilepsy syndrome
C0086873	Pseudopelade
C1268936	Diarrhea-associated hemolytic uremic syndrome
C1268937	Diarrhea-negative hemolytic uremic syndrome
C1864929	Cerebellar atrophy, progressive
C2749759	Macrothrombocytopenia-Stomatocytosis, Mediterranean
C3280574	SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 5
C1142152	Heart valve calcification
C2749757	BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1
C1142150	Autoimmune nephritis
C0474886	Localized recessive dystrophic epidermolysis bullosa
C0474887	Generalized dystrophic epidermolysis bullosa
C1266156	Multicystic mesothelioma, benign
C1266157	Intratubular malignant germ cells
C0751922	Median Neuropathy
C0003949	Asbestosis
C1266158	Nongerminomatous Germ Cell Tumor
C1266159	Trophoblastic tumor, epithelioid
C4015172	SIDEROBLASTIC ANEMIA WITH B-CELL IMMUNODEFICIENCY, PERIODIC FEVERS, AND DEVELOPMENTAL DELAY
C1856689	FRIEDREICH ATAXIA 1
C1855033	Mitochondrial myopathy with lactic acidosis
C0523697	Histidine measurement
C3809715	Spontaneous, recurrent epistaxis
C3809710	TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 5
C0085388	Intracranial Tuberculoma
C3809719	Severe dermatitis, multiple allergies, metabolic wasting syndrome
C0011882	Diabetic Neuropathies
C0011881	Diabetic Nephropathy
C0011880	Diabetic Ketoacidosis
C1328928	Multiple Lentigines/LEOPARD syndrome
C0011884	Diabetic Retinopathy
C4727003	Unresectable Soft Tissue Sarcoma
C0581366	Recurrent cystitis
C0234447	Narcosis
C2676285	Bone Fragility with Contractures, Arterial Rupture, and Deafness
C0233794	Memory impairment
C0233796	Temporary Amnesia
C3826237	Head--Tumors
C0026703	Mucopolysaccharidoses
C4049615	Megaureter
C3463992	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 1
C1277709	Transferrin saturation measurement
C1262481	Eosinophilic gastroenteritis
C0020580	Hypesthesia
C0020581	Hyphema
C1275419	Desmoplastic spindle and epithelioid cell melanocytic nevus of skin
C0850149	Dry cough
C4748455	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, KRAKOW TYPE
C1275417	Non-involuting congenital hemangioma
C0751075	Cancer of Digestive System
C0751074	Diabetic Neuralgia
C0751072	Frontotemporal Lobar Degeneration
C0751071	Familial Dementia
C0751079	Diplopia, Vertical
C1835574	Bipartite calcaneus
C1835570	Hypoplastic cervical vertebrae
C1835573	Multiple carpal ossification centers
C0279643	Undifferentiated Carcinoma of Colon
C1835579	Rib exostoses
C3808046	Breathing dysregulation
C0079352	Congenital torticollis
C0020058	Howell-Jolly Bodies
C3161174	Hemoglobin H Disease
C3161175	Hydrops fetalis due to alpha thalassemia
C4721780	Stage IV Ovarian Cancer AJCC v6 and v7
C3161177	Autoimmune hemophilia
C0597854	renin induced hypertension
C3161173	Hemoglobin H Constant Spring
C4721788	Bifid ribs
C4552494	Idiopathic granulomatous mastitis
C0236175	Increased IgE level
C4531052	Abnormally low T cell receptor excision circle level
C0158621	Congenital subaortic stenosis
C3553060	EMERY-DREIFUSS MUSCULAR DYSTROPHY 7, AUTOSOMAL DOMINANT
C2986703	Overgrowth Syndrome
C1861832	CATARACT, CRYSTALLINE ACULEIFORM
C0043094	Weight Gain
C1154610	sensory perception of bitter taste
C0040213	Tietze's Syndrome
C1852464	Abnormality of the cervical spine
C1970617	Hypoplastic spleen
C1867362	SEVERE COMBINED IMMUNODEFICIENCY, B CELL-NEGATIVE
C0268225	Aspartylglucosaminuria
C1301721	Neurological morbidity
C1849811	Pili torti developmental delay neurological abnormalities
C0862312	Epithelioid mesothelioma, malignant
C0032914	Pre-Eclampsia
C0032915	Preexcitation Syndrome
C4073057	Color vision test abnormality
C1840077	Anteverted nostril
C2267227	Bulimia Nervosa
C1849813	Glycogen Storage Disease of Heart, Lethal Congenital
C0263912	Rotator cuff syndrome
C0232462	Decrease in appetite
C0232466	Feeding difficulties
C0005586	Bipolar Disorder
C0520679	Sleep Apnea, Obstructive
C0520678	Postpartum psychosis
C3826604	Celiac disease in children
C0520676	Premenstrual Dysphoric Disorder
C1280798	Von Willebrand disease, platelet type
C3898569	Low Grade Astrocytic Tumor
C0160390	Injury of liver
C0178874	Tumor Progression
C4688316	Refractory Breast Carcinoma
C4688319	Refractory Melanoma
C4688318	Refractory Colorectal Carcinoma
C0345960	Giant cell carcinoma of lung
C0345961	Epithelioid hemangioendothelioma of lung
C0345963	Benign neoplasm of lung
C0345964	Adenoma of lung
C0345967	Malignant mesothelioma
C0043541	Zygomycosis
C3281029	RIGIDITY AND MULTIFOCAL SEIZURE SYNDROME, LETHAL NEONATAL
C0871007	snake phobia
C3695127	Astrocytoma of brain
C1334240	Intracranial Germinoma
C1334243	Intracranial Melanoma
C3495361	Gigantiform Cementoma, Familial
C0271135	Ectopic pupil
C4546077	Atypical cystic fibrosis
C4546076	Classical cystic fibrosis
C0342464	Salt-losing congenital adrenal hyperplasia
C0342467	Late onset congenital adrenal hyperplasia
C0029463	Osteosarcoma
C1809471	Familial benign hypercalcemia
C1096567	Klebsiella oxytoca infection
C1168305	Corneal melt
C0524957	Corneal Topography
C1306840	Endemic osteoarthritis
C2678439	CRANIOOSTEOARTHROPATHY
C1334798	Monomorphic Post-Transplant Lymphoproliferative Disorder
C4693985	EHLERS-DANLOS SYNDROME, CLASSIC-LIKE, 1
C0006131	Branchioma
C4016368	CENTRAL CORE DISEASE, AUTOSOMAL RECESSIVE
C1282799	Penile swelling
C4016362	HYPERPRORENINEMIA, FAMILIAL
C4016360	BREAST CANCER, SUSCEPTIBILITY TO, IN BRCA1 AND BRCA2 CARRIERS
C4016366	RETINITIS PIGMENTOSA 4, AUTOSOMAL RECESSIVE
C1621958	Glioblastoma Multiforme
C0265404	4q partial monosomy syndrome
C0276667	Disseminated coccidioidomycosis
C0268609	Glutamate formiminotransferase deficiency
C0268608	Deficiency of dihydrofolate reductase
C0341281	Ulcerative jejunitis
C0268603	Acetyl-CoA: carboxylase deficiency
C0268601	HMG CoA lyase deficiency
C0268600	3-methylcrotonyl CoA carboxylase 1 deficiency
C0268605	Inherited disorder of folate metabolism
C1167791	Skin toxicity
C3489771	Keratosis Palmaris et Plantaris Familiaris
C4023051	Abnormality of skeletal muscle fiber size
C4023050	Abnormal mitochondrial shape
C4023053	Cerebellar Purkinje layer atrophy
C4023052	Ubiquitin-positive cerebral inclusion bodies
C4023055	Abnormality of central motor conduction
C4023059	Chondroitin sulfate excretion in urine
C4023058	Abnormality of acetylcarnitine metabolism
C0030186	Paget Disease Extramammary
C0030185	Paget's Disease, Mammary
C4551584	Brain atrophy
C4551583	Cerebral cortical atrophy
C0024236	Lymphedema
C0270771	Syringobulbia
C4551589	ESOPHAGITIS, EOSINOPHILIC, 1
C0270774	Myelomalacia
C1843758	Camptosynpolydactyly, Complex
C3554409	HYPOTRICHOSIS 11
C4225161	HYPOTONIA, INFANTILE, WITH PSYCHOMOTOR RETARDATION AND CHARACTERISTIC FACIES 3
C4225160	NUDT15 deficiency
C4225163	MITOCHONDRIAL DNA DEPLETION SYNDROME 14 (CARDIOENCEPHALOMYOPATHIC TYPE)
C0341862	Hypothalamic amenorrhea
C4225165	NEPHROTIC SYNDROME, TYPE 13
C4225164	ROBINOW SYNDROME, AUTOSOMAL DOMINANT 3
C4225167	SPLIT-FOOT MALFORMATION WITH MESOAXIAL POLYDACTYLY
C4225166	NEPHROTIC SYNDROME, TYPE 12
C0341869	Subfertility, Female
C1842083	Abnormality of the ribs
C1842084	Posterior rib fusion
C0030232	Pallor
C0266177	Megaduodenum
C0266176	Congenital atresia of ileum
C0266175	Jejunal Atresia
C0266174	Duodenal atresia
C0751161	UDPglucose 4-epimerase deficiency disease
C0024586	Malignant Carcinoid Syndrome
C0024588	Malignant essential hypertension
C0267807	Lupus hepatitis
C1611743	Familial (FPAH)
C0007773	Cerebral arteritis
C0007771	Intracranial Arteriosclerosis
C3829122	Mesenchymal Glioblastoma
C0007775	Cerebral Atherosclerosis
