bioplanet_25	BAD phosphorylation regulation
bioplanet_1116	Cyclin A-Cdk2-associated events at S phase entry
bioplanet_1117	Neurotransmitter release cycle
bioplanet_628	BMP receptor signaling
bioplanet_629	Interleukin-6 signaling pathway
bioplanet_620	G alpha (i) signaling events
bioplanet_621	G alpha (s) signaling events
bioplanet_622	G alpha (z) signaling events
bioplanet_623	Osteopontin signaling
bioplanet_624	Interleukin-4 signaling pathway
bioplanet_152	Skeletal myogenesis control by HDAC and calcium/calmodulin-dependent kinase (CaMK)
bioplanet_153	Keratinocyte differentiation
bioplanet_150	Calcineurin in effects in keratinocyte differentiation
bioplanet_151	Gamma-secretase-mediated ErbB4 signaling pathway
bioplanet_156	Sonic Hedgehog (Shh) pathway
bioplanet_157	Agrin in postsynaptic differentiation
bioplanet_154	Progesterone-initiated oocyte maturation
bioplanet_158	Spermatogenesis regulation by CREM
bioplanet_159	Signal-dependent regulation of myogenesis by corepressor MITR
bioplanet_714	Downregulation of ERBB2-ERBB3 signaling
bioplanet_715	Serotonin receptor 2 and STAT3 signaling
bioplanet_716	Retinoic acid receptor-mediated signaling
bioplanet_717	Toll-like receptor signaling pathway regulation
bioplanet_710	Negative regulation of FGFR signaling
bioplanet_711	Natural killer cell receptor signaling pathway
bioplanet_713	Seven transmembrane receptor signaling through beta-arrestin
bioplanet_718	Plasma membrane estrogen receptor signaling
bioplanet_719	GRB2-SOS provides linkage to MAPK signaling for integrins
bioplanet_94	MAP kinase signaling pathway
bioplanet_95	Nitric oxide signaling pathway
bioplanet_97	PELP1 modulation of estrogen receptor activity
bioplanet_90	ERBB2 role in signal transduction and oncology
bioplanet_91	Skeletal muscle hypertrophy is regulated via AKT/mTOR pathway
bioplanet_92	Ion channel and phorbal esters signaling pathway
bioplanet_93	Reversal of insulin resistance by leptin
bioplanet_98	Activation of PKC through G-protein coupled receptors
bioplanet_99	Phospholipase C delta-1 interactions in phospholipid-associated cell signaling
bioplanet_1680	G alpha q pathway
bioplanet_1682	Estrogen receptor transcription factor targets
bioplanet_1683	Tumor necrosis factor (TNF) pathway
bioplanet_1684	G alpha i pathway
bioplanet_1686	Interleukin-13 (IL13) pathway
bioplanet_1687	cAMP cell motility pathway inferred from amoeba model
bioplanet_1688	G alpha 12 pathway
bioplanet_1689	Differentiation pathway in PC12 cells
bioplanet_1758	Amino acid conjugation of benzoic acid
bioplanet_1756	Class C GPCRs (metabotropic glutamate and pheromone receptors)
bioplanet_1757	Hypertrophy pathway
bioplanet_1754	Endochondral ossification
bioplanet_1755	Cytoplasmic ribosomal proteins
bioplanet_1752	Inflammatory response pathway
bioplanet_1753	Class A GPCRs (rhodopsin-like)
bioplanet_1750	Statin pathway
bioplanet_1433	TSH regulation of gene expression
bioplanet_1432	Leptin influence on immune response
bioplanet_1431	RANKL regulation of apoptosis and immune response
bioplanet_1430	Interleukin-9 regulation of target genes
bioplanet_1436	TWEAK regulation of gene expression
bioplanet_1435	FSH regulation of apoptosis
bioplanet_1434	Thymic stromal lymphopoietin (TSLP) pathway
bioplanet_1439	ID regulation of gene expression
bioplanet_1438	EGFR1 pathway
bioplanet_1329	Rapid glucocorticoid receptor pathway
bioplanet_1328	T cell receptor/Ras pathway
bioplanet_1327	Polo-like kinase 1 (PLK1) pathway
bioplanet_1326	IGF1 pathway
bioplanet_1325	PIK3C1/B pathway
bioplanet_1324	Arf6 vesicle-mediated transport
bioplanet_1323	Validated nuclear estrogen receptor beta network
bioplanet_1322	Alpha-9 beta-1 integrin pathway
bioplanet_1321	Regular glucocorticoid receptor pathway
bioplanet_1320	HNF3B pathway
bioplanet_1219	Vasopressin-like receptors
bioplanet_1218	Arachidonate production from diacylglycerol
bioplanet_1213	Adrenoceptors
bioplanet_1212	Muscarinic acetylcholine receptors
bioplanet_1211	Histamine receptors
bioplanet_1210	Dopamine receptors
bioplanet_1217	Transcriptional activity of SMAD2/SMAD3-SMAD4 heterotrimer
bioplanet_1216	Tachykinin receptors bind tachykinins
bioplanet_1215	NGF-independant TRKA activation
bioplanet_1214	Axonal growth stimulation
bioplanet_949	Pyrimidine salvage reactions
bioplanet_948	Pyrimidine catabolism
bioplanet_941	Mitochondrial protein import
bioplanet_940	Methionine salvage pathway
bioplanet_943	Purine salvage
bioplanet_942	Purine catabolism
bioplanet_945	Pyruvate dehydrogenase (PDH) complex regulation
bioplanet_944	Glycogen breakdown (glycogenolysis)
bioplanet_947	Interconversion of 2-oxoglutarate and 2-hydroxyglutarate
bioplanet_439	Gamma-aminobutyric acid receptor life cycle
bioplanet_438	Blockade of neurotransmitter release by botulinum toxin
bioplanet_431	Mechanism of protein import into the nucleus
bioplanet_430	Shuttle for transfer of acetyl groups from mitochondria to the cytosol
bioplanet_433	Rab GTPases mark targets in the endocytotic machinery
bioplanet_432	Platelet amyloid precursor protein pathway
bioplanet_435	Fibrinolysis pathway
bioplanet_434	Prothrombin activation intrinsic pathway
bioplanet_437	Generation of amyloid beta-peptide by PS1
bioplanet_436	Anandamide metabolism
bioplanet_1107	PTM: gamma carboxylation
bioplanet_1106	Dietary sterol trafficking
bioplanet_1105	Chemiosmotic coupling formation of ATP
bioplanet_1104	Zinc efflux and compartmentalization by the SLC30 family
bioplanet_1103	Digestion of dietary lipid
bioplanet_1102	Tricarboxylic acid (TCA) cycle and respiratory electron transport
bioplanet_1101	Transferrin endocytosis and recycling
bioplanet_1100	Zinc influx into cells by the SLC39 gene family
bioplanet_1109	Sulfide oxidation to sulfate
bioplanet_1108	Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis
bioplanet_387	Glycosaminoglycan biosynthesis: heparan sulfate
bioplanet_386	Glycosaminoglycan biosynthesis: keratan sulfate
bioplanet_385	Glycosaminoglycan biosynthesis: chondroitin sulfate
bioplanet_384	Glycosaminoglycan degradation
bioplanet_383	O-mannosyl glycan biosynthesis
bioplanet_382	O-glycan biosynthesis
bioplanet_381	Other glycan degradation
bioplanet_380	N-glycan biosynthesis
bioplanet_389	Glycosphingolipid biosynthesis: globo series
bioplanet_388	Glycosphingolipid biosynthesis: lacto and neolacto series
bioplanet_545	BMP signaling pathway in stem cells
bioplanet_544	NGF signaling via TRKA from the plasma membrane
bioplanet_547	Fas signaling pathway
bioplanet_546	Fas signaling pathway in hepatocytes
bioplanet_541	ADP signalling through P2Y purinoceptor 1
bioplanet_540	FGF signaling pathway
bioplanet_542	ADP signalling through P2Y purinoceptor 12
bioplanet_893	Commissural axon pathfinding regulation by Slit and Robo
bioplanet_892	Activation of Rac
bioplanet_891	Inactivation of Cdc42 and Rac
bioplanet_890	Axon guidance
bioplanet_549	BMP signaling and regulation
bioplanet_548	Fas signaling pathway in cardiomyocytes
bioplanet_895	Neurophilin interactions with VEGF and VEGF receptor
bioplanet_894	Adaptive immune system
bioplanet_826	Creatine metabolism
bioplanet_369	Starch and sucrose metabolism
bioplanet_368	Ascorbate and aldarate metabolism
bioplanet_827	Abacavir metabolism
bioplanet_365	Pentose and glucuronate interconversions
bioplanet_364	Pentose phosphate pathway
bioplanet_367	Galactose metabolism
bioplanet_366	Fructose and mannose metabolism
bioplanet_361	Butirosin and neomycin biosynthesis
bioplanet_360	Caffeine metabolism
bioplanet_363	Tricarboxylic acid (TCA) cycle
bioplanet_362	Glycolysis and gluconeogenesis
bioplanet_825	Glycine metabolism
bioplanet_822	Energy metabolism
bioplanet_1069	Organic anion transporters
bioplanet_820	Phosphatidylinositol metabolism
bioplanet_821	Iron metabolism in placenta
bioplanet_761	Serine biosynthesis
bioplanet_1064	Ion channel transport
bioplanet_763	Heparan sulfate/heparin glycosaminoglycan (HS-GAG) biosynthesis
bioplanet_762	Carnitine biosynthesis
bioplanet_765	Amino acid biosynthesis and interconversion (transamination)
bioplanet_764	Vitamin D biosynthesis
bioplanet_767	Eicosanoid biosynthesis
bioplanet_1065	Bicarbonate transporters
bioplanet_769	Collagen biosynthesis and modifying enzymes
bioplanet_768	Androgen biosynthesis
bioplanet_87	Corticosteroids and cardioprotection
bioplanet_85	Neuroregulin receptor degredation protein-1 controls ErbB3 receptor recycling
bioplanet_84	Support of platelet aggregation by Eph kinases and ephrins
bioplanet_83	MAP kinase pathway regulation through dual specificity phosphatases
bioplanet_82	Cystic fibrosis transmembrane conductance regulator (CFTR) and beta 2 adrenergic receptor (b2AR) pathway
bioplanet_81	CBL-mediated ligand-induced downregulation of EGF receptors
bioplanet_80	Calcium/calmodulin-dependent protein kinase activation
bioplanet_89	Inhibition of cellular proliferation by Gleevec
bioplanet_88	Growth hormone receptor signaling
bioplanet_828	Abnormal metabolism in phenylketonuria
bioplanet_829	Pyruvate metabolism and citric acid (TCA) cycle
bioplanet_169	NF-kappaB signaling pathway
bioplanet_168	NFAT involvement in hypertrophy of the heart
bioplanet_167	Eukaryotic protein translation
bioplanet_166	eIF2 regulation
bioplanet_165	MAP kinase inactivation of SMRT corepressor
bioplanet_164	CARM1 and regulation of the estrogen receptor
bioplanet_163	Oxidative stress-induced gene expression via Nrf2
bioplanet_162	Basic mechanism of action of PPAR-alpha
bioplanet_161	Proteolysis and signaling pathway of Notch
bioplanet_160	ALK in cardiac myocytes
bioplanet_1699	Non-class A
bioplanet_1698	Translation factors
bioplanet_1695	STAT3 pathway
bioplanet_1694	Myocyte adrenergic pathway
bioplanet_1693	G alpha 13 pathway
bioplanet_1692	Adrenergic pathway
bioplanet_1691	Type I interferon (interferon-alpha/beta) pathway
bioplanet_1690	PAC1 receptor pathway
bioplanet_1749	Cytochrome P450 pathway
bioplanet_1745	Mitochondrial gene expression
bioplanet_1744	Striated muscle contraction
bioplanet_1747	Oxidative stress
bioplanet_1746	Eukaryotic transcription initiation
bioplanet_1740	FAS pathway and stress induction of heat shock protein regulation
bioplanet_1743	Mitochondrial fatty acid beta-oxidation
bioplanet_1742	Ovarian infertility genes
PATHWAY_ID	PATHWAY_NAME
bioplanet_1358	Integrin beta-5 pathway
bioplanet_1359	VEGFR1 pathway
bioplanet_1352	Syndecan 1 pathway
bioplanet_1353	p38 MK2 pathway
bioplanet_1350	T cell receptor/JNK pathway
bioplanet_1351	C-Myb transcription factor network
bioplanet_1357	p38 gamma/delta MAPK pathway
bioplanet_1354	Validated nuclear estrogen receptor alpha network
bioplanet_1355	ALK2 pathway
bioplanet_1598	NF-kappaB activation through FADD/RIP-1 pathway
bioplanet_1599	Activation of pro-caspase 8
bioplanet_1594	Muscle contraction
bioplanet_1595	N-glycan antennae elongation in the medial/trans-Golgi
bioplanet_1596	N-glycan trimming and elongation in the cis-Golgi
bioplanet_1597	N-glycan trimming in the ER and calnexin/calreticulin cycle
bioplanet_1590	Mitochondrial uncoupling proteins
bioplanet_1591	Mitotic G1-G1/S phases
bioplanet_1592	Mitotic G2-G2/M phases
bioplanet_958	Alpha-oxidation of phytanate
bioplanet_959	AMPK inhibition of chREBP transcriptional activation activity
bioplanet_952	HDL-mediated lipid transport
bioplanet_950	Utilization of ketone bodies
bioplanet_951	Chylomicron-mediated lipid transport
bioplanet_956	Beta-oxidation of pristanoyl-CoA
bioplanet_957	Beta-oxidation of very long chain fatty acids
bioplanet_954	Gluconeogenesis
bioplanet_955	Glycolysis
bioplanet_428	Low-density lipoprotein (LDL) pathway during atherogenesis
bioplanet_429	Malate-aspartate shuttle
bioplanet_422	Eicosanoid metabolism
bioplanet_423	ER-associated degradation (ERAD) pathway
bioplanet_420	Mitochondrial carnitine palmitoyltransferase (CPT) system
bioplanet_421	FYVE-finger proteins in vesicle transport
bioplanet_426	Ghrelin-mediated regulation of food intake and energy homeostasis
bioplanet_899	Inhibition of TSC complex formation by Akt
bioplanet_424	Electron transport reaction in mitochondria
bioplanet_425	Extrinsic prothrombin activation pathway
bioplanet_1172	DNA replication
bioplanet_1173	DNA damage reversal
bioplanet_1170	SLBP-dependent processing of replication-dependent histone pre-mRNAs
bioplanet_1171	DNA replication pre-Initiation
bioplanet_1176	DNA strand elongation
bioplanet_1177	DNA-PK pathway in nonhomologous end joining
bioplanet_1174	DNA replication initiation
bioplanet_1175	DNA damage bypass
bioplanet_1178	ATM-dependent DNA damage response
bioplanet_1179	G2/M DNA damage checkpoint
bioplanet_390	Glycosphingolipid biosynthesis: ganglio series
bioplanet_391	Fatty acid elongation in mitochondria
bioplanet_392	Fatty acid metabolism
bioplanet_393	Ketone body biosynthesis and degradation
bioplanet_394	Steroid biosynthesis
bioplanet_395	Primary bile acid biosynthesis
bioplanet_396	Steroid hormone biosynthesis
bioplanet_397	Glycerolipid metabolism
bioplanet_398	Glycerophospholipid metabolism
bioplanet_399	Ether lipid metabolism
bioplanet_896	NGF processing
bioplanet_556	RhoA signaling pathway
bioplanet_557	Arf6 signal transduction regulation
bioplanet_554	G13 signaling pathway
bioplanet_887	Interleukin-1 processing
bioplanet_552	FSH signaling pathway
bioplanet_553	Wnt signaling pathway and pluripotency
bioplanet_550	TOR signaling
bioplanet_551	Thyroid-stimulating hormone signaling pathway
bioplanet_1006	Apoptosis
bioplanet_1007	Apoptotic factor-mediated response
bioplanet_1004	Localization of the PINCH-ILK-PARVIN complex to focal adhesions
bioplanet_1005	Apoptotic execution  phase
bioplanet_1002	Integrin-mediated cell adhesion
bioplanet_1003	Apoptotic cleavage of cell adhesion  proteins
bioplanet_558	LKB1 signaling events
bioplanet_559	SHP2 signaling
bioplanet_378	Sulfur metabolism
bioplanet_379	Metabolism
bioplanet_376	Oxidative phosphorylation
bioplanet_377	Nitrogen metabolism
bioplanet_374	Propanoate metabolism
bioplanet_375	Butanoate metabolism
bioplanet_372	Pyruvate metabolism
bioplanet_373	Glyoxylate and dicarboxylate metabolism
bioplanet_370	Amino sugar and nucleotide sugar metabolism
bioplanet_371	Inositol phosphate metabolism
bioplanet_772	Coenzyme A biosynthesis
bioplanet_773	Hyaluronan biosynthesis and export
bioplanet_770	Glutathione biosynthesis and recycling
bioplanet_771	Thyroxine biosynthesis
bioplanet_776	Prostaglandin biosynthesis and regulation
bioplanet_777	Cholesterol biosynthesis
bioplanet_774	Pyrimidine biosynthesis
bioplanet_775	Acetylcholine biosynthesis
bioplanet_778	Leading strand biosynthesis
bioplanet_779	Plasmalogen biosynthesis
bioplanet_178	Pertussis toxin-insensitive CCR5 signaling in macrophage
bioplanet_179	Inactivation of GSK3 by Akt causes accumulation of beta-catenin in alveolar macrophages
bioplanet_170	Degradation of the RAR/RXR heterodimer by the proteasome
bioplanet_171	Chromatin remodeling by nuclear receptors to facilitate initiation of transcription in carcinoma cells
bioplanet_172	Acetylation and deacetylation of RelA in the nucleus
bioplanet_173	G-protein signaling through tubby proteins
bioplanet_174	PGC-1a regulation
bioplanet_175	CREB transcription factor and its extracellular signals
bioplanet_176	Repression of pain sensation by the transcriptional regulator DREAM
bioplanet_177	Angiotensin II-mediated activation of JNK pathway via Pyk2-dependent signaling
bioplanet_1771	SIDS susceptibility pathways
bioplanet_1772	Serotonin HTR1 group and FOS pathway
bioplanet_1774	Nucleotide G-protein coupled receptors (GPCRs)
bioplanet_889	Rho GTPase cycle
bioplanet_760	Incretin biosynthesis
bioplanet_766	Lagging strand processive biosynthesis
bioplanet_1349	ALK1 pathway
bioplanet_1348	E-cadherin keratinocyte pathway
bioplanet_647	NODAL signaling regulation
bioplanet_1341	Syndecan 4 pathway
bioplanet_1340	ERBB1 downstream pathway
bioplanet_1343	AP-1 transcription factor network
bioplanet_1342	ATF2 transcription factor network
bioplanet_1345	FOXM1 transcription factor network
bioplanet_1344	Integrin beta-2 pathway
bioplanet_1347	Hypoxic and oxygen homeostasis regulation of HIF-1-alpha
bioplanet_1346	Ephrin receptor A forward pathway
bioplanet_1588	Cytochrome P450 metabolism of miscellaneous substrates
bioplanet_1583	Meiotic recombination
bioplanet_1582	Meiosis
bioplanet_1581	Nuclear events mediated by MAP kinases
bioplanet_1580	M phase pathway
bioplanet_1587	Methylation
bioplanet_1586	Activation of NMDA receptor upon glutamate binding and postsynaptic events
bioplanet_1585	Membrane trafficking
bioplanet_1584	Meiotic synapsis
bioplanet_316	Parkinson's disease
bioplanet_317	Amyotrophic lateral sclerosis (ALS)
bioplanet_967	Hydrolysis of lysophosphatidylcholine (LPC)
bioplanet_966	Thyroid hormone activity regulation
bioplanet_965	Import of palmitoyl-CoA into the mitochondrial matrix
bioplanet_964	Recycling of bile acids and salts
bioplanet_963	Abacavir transmembrane transport
bioplanet_962	PP2A-mediated dephosphorylation of key metabolic factors
bioplanet_961	PKA-mediated phosphorylation of key metabolic factors
bioplanet_960	ChREBP activates metabolic gene expression
bioplanet_969	Acyl chain remodeling of diacylglycerol and triacylglycerol
bioplanet_968	Acyl chain remodeling of cardiolipin
bioplanet_417	Mechanism of acetaminophen activity and toxicity
bioplanet_416	Multi-drug resistance factors
bioplanet_415	Phosphatidylcholine biosynthesis pathway
bioplanet_414	Drug metabolism: other enzymes
bioplanet_413	Drug metabolism: cytochrome P450
bioplanet_412	Pyrimidine metabolism
bioplanet_411	Purine metabolism
bioplanet_410	Terpenoid backbone biosynthesis
bioplanet_419	ChREBP regulation by carbohydrates and cAMP
bioplanet_418	Glycosylation of mammalian N-linked oligosaccarides
bioplanet_1161	Destabilization of mRNA by KSRP
bioplanet_1160	Destabilization of mRNA by butyrate response factor 1 (BRF1)
bioplanet_1163	Intronless pre-mRNA processing
bioplanet_1162	Deadenylation-dependent mRNA decay
bioplanet_1165	Rev-mediated nuclear export of HIV-1 RNA
bioplanet_1164	Gene expression
bioplanet_1167	Capped intron-containing pre-mRNA processing
bioplanet_1166	Post-transcriptional silencing by small RNAs
bioplanet_1169	HIV life cycle early phase
bioplanet_1168	Post-elongation processing of intronless pre-mRNA
bioplanet_563	Cell death signaling by NRIF in the nucleus
bioplanet_562	NCAM signaling for neurite out-growth
bioplanet_561	GAB1 signalosome
bioplanet_560	Tie2 signaling
bioplanet_1019	DCC role in regulating apoptosis
bioplanet_1018	Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization
bioplanet_565	Rap1 signaling
bioplanet_564	PD-1 signaling
bioplanet_1015	Mitochondrial pathway of apoptosis: multidomain Bcl-2 family
bioplanet_1014	Mitochondrial pathway of apoptosis: antiapoptotic Bcl-2 family
bioplanet_1017	Mitochondrial pathway of apoptosis: caspases
bioplanet_1016	Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family
bioplanet_1011	Apoptosis regulation
bioplanet_1010	Formation of apoptosome
bioplanet_1013	Influenza virus-induced apoptosis
bioplanet_1012	Apoptosis intrinsic pathway
bioplanet_348	Ubiquinone and other terpenoid-quinone biosynthesis
bioplanet_343	Arginine and proline metabolism
bioplanet_342	Lysine degradation
bioplanet_341	Lysine biosynthesis
bioplanet_340	Valine
bioplanet_347	Phenylalanine
bioplanet_346	Phenylalanine metabolism
bioplanet_345	Tyrosine metabolism
bioplanet_344	Histidine metabolism
bioplanet_749	Dolichyl-phosphate mannose biosynthesis
bioplanet_748	Bile acid and bile salt biosynthesis via 7-alpha-hydroxycholesterol
bioplanet_747	Bile acid and bile salt biosynthesis via 27-hydroxycholesterol
bioplanet_746	Bile acid and bile salt biosynthesis via 24-hydroxycholesterol
bioplanet_745	UDP-N-acetyl-glucosamine biosynthesis
bioplanet_744	PIP biosynthesis at the plasma membrane
bioplanet_743	PIP biosynthesis at the late endosome membrane
bioplanet_742	PIP biosynthesis at the early endosome membrane
bioplanet_741	PIP biosynthesis at the Golgi membrane
bioplanet_740	PIP biosynthesis at the ER membrane
bioplanet_989	Gap junction assembly
bioplanet_988	Gap junction trafficking and regulation
bioplanet_985	Influenza infection
bioplanet_984	Latent infection of Homo sapiens with Mycobacterium tuberculosis
bioplanet_987	Hypothetical network for drug addiction
bioplanet_986	APOBEC3G-mediated resistance to HIV-1 infection
bioplanet_980	Amyloids
bioplanet_983	HIV infection
bioplanet_982	Nef in HIV-1 replication and disease pathogenesis
bioplanet_185	MSP/RON receptor signaling pathway
bioplanet_184	Human cytomegalovirus and MAP kinase pathways
bioplanet_187	Visceral fat deposits and the metabolic syndrome
bioplanet_181	Cadmium-induced DNA biosynthesis and proliferation in macrophages
bioplanet_180	B cell survival pathway
bioplanet_183	Fc epsilon receptor I signaling in mast cells
bioplanet_182	Inhibition of T cell receptor signaling by activated Csk
bioplanet_189	Parkin role in the ubiquitin-proteasomal pathway
bioplanet_188	MAP kinase downregulation by phosphorylation of MEK1 by Cdk5/p35
bioplanet_1767	Sulfation biotransformation reaction
bioplanet_1766	Polyol pathway
bioplanet_1765	Catalytic cycle of mammalian FMOs
bioplanet_1764	Arachidonate epoxygenase/epoxide hydrolase pathway
bioplanet_1763	Senescence and autophagy
bioplanet_1762	ACE inhibitor pathway
bioplanet_1761	Complement activation
bioplanet_1760	Calcium regulation in the cardiac cell
bioplanet_1769	Metapathway biotransformation
bioplanet_1768	Glucuronidation
bioplanet_456	Adipocytokine signaling pathway
bioplanet_459	Vasopressin-regulated water reabsorption
bioplanet_1126	RNA polymerase I
bioplanet_1374	Ras family activation regulation
bioplanet_1375	MAPK/TRK pathway
bioplanet_1376	PI3K/PLC/TRK pathway
bioplanet_1377	CD8/T cell receptor downstream pathway
bioplanet_1370	Myc repressed pathway
bioplanet_1371	HIF-1 transcriptional activity in hypoxia
bioplanet_1372	TAp63 pathway
bioplanet_1378	Polo-like kinase 3 (PLK3) pathway
bioplanet_1379	Rac1 cell motility signaling pathway
bioplanet_1576	L1CAM interactions
bioplanet_1577	Activation of kainate receptors upon glutamate binding
bioplanet_1574	JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1
bioplanet_1575	Kinesins
bioplanet_1572	Interactions of HIV Vpr protein with host cellular proteins
bioplanet_1573	Inwardly rectifying potassium channels
bioplanet_1570	Interaction between L1-type proteins and ankyrins
bioplanet_1571	Interactions of HIV Tat protein with host cellular proteins
bioplanet_1579	Lysosome vesicle biogenesis
bioplanet_915	AKT phosphorylation of nuclear targets
bioplanet_912	SHC-related events
bioplanet_1482	Mitochondrial beta-oxidation of saturated fatty acids
bioplanet_1483	Mitochondrial beta-oxidation of unsaturated fatty acids
bioplanet_1480	TAK1-mediated activation of p38 MAPK
bioplanet_1481	Endothelial NOS activation
bioplanet_1486	BMAL1-CLOCK/NPAS2 activates circadian expression
bioplanet_1487	Basigin interactions
bioplanet_1484	Attachment of GPI anchor to uPAR
bioplanet_1485	AKT-mediated inactivation of FOXO1A
bioplanet_1488	Beta-oxidation of butanoyl-CoA to acetyl-CoA
bioplanet_1489	Beta-oxidation of myristoyl-CoA to lauroyl-CoA
bioplanet_913	eIF4E release
bioplanet_970	Acyl chain remodelling of phosphatidylcholine
bioplanet_971	Acyl chain remodelling of phosphatidylglycerol
bioplanet_972	Acyl chain remodelling of phosphatidylinositol
bioplanet_973	Acyl chain remodelling of phosphatidylserine
bioplanet_974	Amine-derived hormones
bioplanet_975	O-linked glycosylation of mucins
bioplanet_976	Integrated cancer pathway
bioplanet_977	Integrated breast cancer pathway
bioplanet_978	Folate-alcohol and cancer pathway
bioplanet_979	BRCA1
bioplanet_400	Arachidonic acid metabolism
bioplanet_401	Linoleic acid metabolism
bioplanet_402	Alpha-linolenic acid metabolism
bioplanet_403	Biosynthesis of unsaturated fatty acids
bioplanet_404	Beta-alanine metabolism
bioplanet_405	Taurine and hypotaurine metabolism
bioplanet_406	Selenoamino acid metabolism
bioplanet_407	Cyanoamino acid metabolism
bioplanet_408	D-Glutamine and D-glutamate metabolism
bioplanet_409	Glutathione metabolism
bioplanet_1156	Stabilization of mRNA by HuR
bioplanet_1157	Activation of mRNA upon binding of the cap-binding complex and eIFs
bioplanet_1150	Binding of RNA by insulin-like growth factor 2 mRNA binding proteins (IGF2BPs/IMPs/VICKZs)
bioplanet_1151	mRNA stability regulation by proteins that bind AU-rich elements
bioplanet_1152	Mitochondrial tRNA aminoacylation
bioplanet_1153	Transcription factor regulation of microRNAs related to cardiac hypertrophy
bioplanet_1398	HIV-1 early elongation complex formation
bioplanet_1399	HIV-1 elongation complex formation in the absence of HIV-1 Tat
bioplanet_1396	Flap intermediate removal from the telomere lagging strand (C-strand)
bioplanet_1397	2-LTR circle formation
bioplanet_1394	Translocation of ZAP-70 to immunological synapse
bioplanet_1395	Eukaryotic translation elongation
bioplanet_1390	ATR activation in response to replication stress
bioplanet_1391	APC/C activator regulation between G1/S and early anaphase
bioplanet_578	CDC42 signaling events
bioplanet_579	BARD1 signaling events
bioplanet_576	ERBB4 signaling events
bioplanet_577	TRAIL signaling pathway
bioplanet_570	Interleukin-7 signaling pathway
bioplanet_571	Interleukin-9 signaling pathway
bioplanet_572	Interleukin-3 signaling pathway
bioplanet_1028	Influenza factor interactions with host
bioplanet_1029	Assembly of the ORC complex at the origin of replication
bioplanet_1020	Breakdown of the nuclear lamina
bioplanet_1021	Activation of DNA fragmentation factor
bioplanet_1022	Caspase-mediated cleavage of cytoskeletal proteins
bioplanet_1023	Inactivation of BCL-2 by BH3-only proteins
bioplanet_1024	Activation and myristolyation of BID and its translocation to mitochondria
bioplanet_1025	Cell cycle
bioplanet_1026	Cell cycle checkpoints
bioplanet_1027	G1 to S cell cycle control
bioplanet_354	Pantothenate and CoA biosynthesis
bioplanet_355	Biotin metabolism
bioplanet_356	Lipoic acid metabolism
bioplanet_357	Folate biosynthesis
bioplanet_350	Thiamine metabolism
bioplanet_351	Riboflavin metabolism
bioplanet_352	Vitamin B6 metabolism
bioplanet_353	Nicotinate and nicotinamide metabolism
bioplanet_358	Retinol metabolism
bioplanet_359	Porphyrin and chlorophyll metabolism
bioplanet_758	Glycogen biosynthesis
bioplanet_750	Glycosylphosphatidylinositol (GPI) biosynthesis
bioplanet_751	N-glycan precursor substrate biosynthesis
bioplanet_752	Ghrelin biosynthesis
bioplanet_753	Glucose-dependent insulinotropic polypeptide (GIP) biosynthesis
bioplanet_754	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide
bioplanet_755	GABA biosynthesis
bioplanet_756	Insulin biosynthesis and processing
bioplanet_757	Heme biosynthesis
bioplanet_998	Oligomerization of connexins into connexons
bioplanet_999	Nectin adhesion pathway
bioplanet_996	Post-translational regulation of adherens junction stability and disassembly
bioplanet_997	Nectin/Necl  trans heterodimerization
bioplanet_994	Electric transmission across gap junctions
bioplanet_995	Type I hemidesmosome assembly
bioplanet_992	Adherens junction actin cytoskeletal organization
bioplanet_993	Gap junction activity regulation
bioplanet_990	Cell junction organization
bioplanet_991	Tight junction interactions
bioplanet_824	Glucose metabolism
bioplanet_196	Actin cytoskeleton regulation
bioplanet_197	Focal adhesion
bioplanet_194	Oocyte meiosis
bioplanet_195	p53 activity regulation
bioplanet_192	Visual signal transduction
bioplanet_193	Reelin signaling pathway
bioplanet_191	TrkA receptor signaling pathway
bioplanet_198	Adherens junction cell adhesion
bioplanet_199	Tight junction
bioplanet_823	Folate metabolism
bioplanet_1712	Nuclear receptors
bioplanet_1710	Nicotine activity on dopaminergic neurons
bioplanet_1711	Nicotine activity on chromaffin cells
bioplanet_1716	SRF and microRNAs in smooth muscle differentiation and proliferation
bioplanet_1714	TP53 network
bioplanet_1715	Peroxisomal beta-oxidation of tetracosanoyl-CoA
bioplanet_1718	MAPK cascade role in angiogenesis
bioplanet_1719	Nitric oxide effects
bioplanet_1628	Polo-like kinase-mediated events
bioplanet_1629	Post-chaperonin tubulin folding pathway
bioplanet_1626	Platelet homeostasis
bioplanet_1627	Platelet sensitization by LDL
bioplanet_1624	Phosphorylation of proteins involved in the G2/M transition by cyclin A-Cdc2 complexes
bioplanet_1625	Platelet calcium homeostasis
bioplanet_1622	Phosphorylation of Emi1
bioplanet_1623	Phosphorylation of proteins involved in G1/S transition by active cyclin E-Cdk2 complexes
bioplanet_1620	Packaging of telomere ends
bioplanet_1621	Phase I of biological oxidations: functionalization of compounds
bioplanet_1363	Delta Np63 pathway
