GO:0004866	endopeptidase inhibitor activity
GO:0102194	protein-fructosamine 3-kinase activity
GO:0015248	sterol transporter activity
GO:0043398	HLH domain binding
GO:0062189	anandamide 14,15 epoxidase activity
GO:0062188	anandamide 11,12 epoxidase activity
GO:0062187	anandamide 8,9 epoxidase activity
GO:0052740	1-acyl-2-lysophosphatidylserine acylhydrolase activity
GO:0044603	protein adenylylhydrolase activity
GO:0062183	all-trans retinoic acid 18-hydroxylase activity
GO:0062182	all-trans retinoic acid 4-hydrolase activity
GO:0062181	1-alpha,25-dihydroxyvitamin D3 23-hydroxylase activity
GO:0052745	inositol phosphate phosphatase activity
GO:0099077	histone-dependent DNA binding
GO:0034545	fumarylpyruvate hydrolase activity
GO:0110050	deaminated glutathione amidase activity
GO:0086078	gap junction channel activity involved in bundle of His cell-Purkinje myocyte electrical coupling
GO:0050809	diazepam binding
GO:0032090	Pyrin domain binding
GO:0034722	gamma-glutamyl-peptidase activity
GO:0004326	tetrahydrofolylpolyglutamate synthase activity
GO:0051998	protein carboxyl O-methyltransferase activity
GO:0022840	leak channel activity
GO:0051996	squalene synthase activity
GO:0051997	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity
GO:0051990	(R)-2-hydroxyglutarate dehydrogenase activity
GO:0047102	aminomuconate-semialdehyde dehydrogenase activity
GO:0047291	lactosylceramide alpha-2,3-sialyltransferase activity
GO:0047734	CDP-glycerol diphosphatase activity
GO:0004446	inositol-hexakisphosphate phosphatase activity
GO:0004999	vasoactive intestinal polypeptide receptor activity
GO:0008794	arsenate reductase (glutaredoxin) activity
GO:0061690	lipoamidase activity
GO:0052742	phosphatidylinositol kinase activity
GO:0061697	protein-glutaryllysine deglutarylase activity
GO:0035033	histone deacetylase regulator activity
GO:1990275	preribosome binding
GO:1990272	anti-Mullerian hormone receptor activity
GO:0086057	voltage-gated calcium channel activity involved in bundle of His cell action potential
GO:0035035	histone acetyltransferase binding
GO:0035034	histone acetyltransferase regulator activity
GO:0061501	cyclic-GMP-AMP synthase activity
GO:0034038	deoxyhypusine synthase activity
GO:0061507	cyclic-GMP-AMP binding
GO:0031994	insulin-like growth factor I binding
GO:0035529	NADH pyrophosphatase activity
GO:0042562	hormone binding
GO:0033823	procollagen glucosyltransferase activity
GO:0030395	lactose binding
GO:0002135	CTP binding
GO:0004997	thyrotropin-releasing hormone receptor activity
GO:0043178	alcohol binding
GO:0043177	organic acid binding
GO:0036143	kringle domain binding
GO:0043175	RNA polymerase core enzyme binding
GO:0033842	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
GO:0004991	parathyroid hormone receptor activity
GO:0003689	DNA clamp loader activity
GO:0003688	DNA replication origin binding
GO:0004380	glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase activity
GO:0017147	Wnt-protein binding
GO:0003680	minor groove of adenine-thymine-rich DNA binding
GO:0003682	chromatin binding
GO:0003684	damaged DNA binding
GO:0004103	choline kinase activity
GO:0000182	rDNA binding
GO:0036140	peptidyl-asparagine 3-dioxygenase activity
GO:0036425	D-phosphoserine phosphatase activity
GO:0036424	L-phosphoserine phosphatase activity
GO:0050683	AF-1 domain binding
GO:0018812	3-hydroxyacyl-CoA dehydratase activity
GO:0003858	3-hydroxybutyrate dehydrogenase activity
GO:0033981	D-dopachrome decarboxylase activity
GO:0000340	RNA 7-methylguanosine cap binding
GO:0004875	complement receptor activity
GO:0031737	CX3C chemokine receptor binding
GO:0031730	CCR5 chemokine receptor binding
GO:0031731	CCR6 chemokine receptor binding
GO:0031732	CCR7 chemokine receptor binding
GO:0102102	homocarnosine synthase activity
GO:0051920	peroxiredoxin activity
GO:0055103	ligase regulator activity
GO:0004879	nuclear receptor activity
GO:0001217	DNA-binding transcription repressor activity
GO:0106335	tRNA (carboxymethyluridine(34)-5-O)-methyltransferase activity
GO:0004506	squalene monooxygenase activity
GO:0050661	NADP binding
GO:0050660	flavin adenine dinucleotide binding
GO:0004503	monophenol monooxygenase activity
GO:0004502	kynurenine 3-monooxygenase activity
GO:0050664	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor
GO:0005055	laminin receptor activity
GO:0005052	peroxisome matrix targeting signal-1 binding
GO:0005053	peroxisome matrix targeting signal-2 binding
GO:0004509	steroid 21-monooxygenase activity
GO:0004508	steroid 17-alpha-monooxygenase activity
GO:1902118	calcidiol binding
GO:0035594	ganglioside binding
GO:0035716	chemokine (C-C motif) ligand 12 binding
GO:1990782	protein tyrosine kinase binding
GO:0008853	exodeoxyribonuclease III activity
GO:0030619	U1 snRNA binding
GO:0005277	acetylcholine transmembrane transporter activity
GO:0106177	cyclic-GMP-AMP hydrolase activity
GO:0008324	cation transmembrane transporter activity
GO:0036393	thiocyanate peroxidase activity
GO:0038085	vascular endothelial growth factor binding
GO:0044736	acid-sensing ion channel activity
GO:0043682	P-type divalent copper transporter activity
GO:0106029	tRNA pseudouridine synthase activity
GO:0030731	guanidinoacetate N-methyltransferase activity
GO:0004478	methionine adenosyltransferase activity
GO:0008983	protein-glutamate O-methyltransferase activity
GO:0030735	carnosine N-methyltransferase activity
GO:0004473	malate dehydrogenase (decarboxylating) (NADP+) activity
GO:0033791	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase activity
GO:0004471	malate dehydrogenase (decarboxylating) (NAD+) activity
GO:0004470	malic enzyme activity
GO:0004477	methenyltetrahydrofolate cyclohydrolase activity
GO:0004476	mannose-6-phosphate isomerase activity
GO:0004475	mannose-1-phosphate guanylyltransferase activity
GO:0008988	rRNA (adenine-N6-)-methyltransferase activity
GO:0048030	disaccharide binding
GO:0090556	phosphatidylserine floppase activity
GO:0008403	25-hydroxycholecalciferol-24-hydroxylase activity
GO:0098872	G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration
GO:0005477	pyruvate secondary active transmembrane transporter activity
GO:0005471	ATP
GO:0001616	growth hormone secretagogue receptor activity
GO:0004252	serine-type endopeptidase activity
GO:0005308	creatine transmembrane transporter activity
GO:0102035	isobutyryl-CoA
GO:0004074	biliverdin reductase (NAD(P)+) activity
GO:0102521	tRNA-4-demethylwyosine synthase activity
GO:0102522	tRNA 4-demethylwyosine alpha-amino-alpha-carboxypropyltransferase activity
GO:0035379	carbon dioxide transmembrane transporter activity
GO:0005302	L-tyrosine transmembrane transporter activity
GO:0008963	phospho-N-acetylmuramoyl-pentapeptide-transferase activity
GO:0043956	3-hydroxypropionyl-CoA dehydratase activity
GO:0005307	choline
GO:0008743	L-threonine 3-dehydrogenase activity
GO:1905594	resveratrol binding
GO:0031694	alpha-2A adrenergic receptor binding
GO:0008188	neuropeptide receptor activity
GO:0008187	poly-pyrimidine tract binding
GO:0008186	RNA-dependent ATPase activity
GO:0062065	box H/ACA snoRNP complex binding
GO:0050221	prostaglandin-E2 9-reductase activity
GO:0042602	riboflavin reductase (NADPH) activity
GO:0050473	arachidonate 15-lipoxygenase activity
GO:0061863	microtubule plus end polymerase
GO:0050220	prostaglandin-E synthase activity
GO:0000246	delta24(24-1) sterol reductase activity
GO:0004659	prenyltransferase activity
GO:0042605	peptide antigen binding
GO:0004657	proline dehydrogenase activity
GO:0045130	keratan sulfotransferase activity
GO:0042608	T cell receptor binding
GO:0042609	CD4 receptor binding
GO:0004653	polypeptide N-acetylgalactosaminyltransferase activity
GO:0004652	polynucleotide adenylyltransferase activity
GO:0004651	polynucleotide 5'-phosphatase activity
GO:0000166	nucleotide binding
GO:0140010	D-aspartate transmembrane transporter activity
GO:0004890	GABA-A receptor activity
GO:0004897	ciliary neurotrophic factor receptor activity
GO:0004896	cytokine receptor activity
GO:0102148	N-acetyl-beta-D-galactosaminidase activity
GO:0016857	racemase and epimerase activity, acting on carbohydrates and derivatives
GO:0102140	heparan sulfate N-deacetylase activity
GO:0047237	glucuronylgalactosylproteoglycan 4-beta-N-acetylgalactosaminyltransferase activity
GO:0061953	mRNA (adenine-N1-)-methyltransferase activity
GO:0015141	succinate transmembrane transporter activity
GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity
GO:0035851	Krueppel-associated box domain binding
GO:0003847	1-alkyl-2-acetylglycerophosphocholine esterase activity
GO:0003846	2-acylglycerol O-acyltransferase activity
GO:0003845	11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity
GO:0015140	malate transmembrane transporter activity
GO:0031751	D4 dopamine receptor binding
GO:0015143	urate transmembrane transporter activity
GO:0102500	beta-maltose 4-alpha-glucanotransferase activity
GO:0098505	G-rich strand telomeric DNA binding
GO:0019531	oxalate transmembrane transporter activity
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
GO:0015142	tricarboxylic acid transmembrane transporter activity
GO:0019534	toxin transmembrane transporter activity
GO:0099529	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential
GO:0016812	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides
GO:0016813	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines
GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0036374	glutathione hydrolase activity
GO:0016814	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines
GO:0004090	carbonyl reductase (NADPH) activity
GO:0030110	HLA-C specific inhibitory MHC class I receptor activity
GO:0004095	carnitine O-palmitoyltransferase activity
GO:0003998	acylphosphatase activity
GO:0042910	xenobiotic transmembrane transporter activity
GO:0004096	catalase activity
GO:0003995	acyl-CoA dehydrogenase activity
GO:0003994	aconitate hydratase activity
GO:0003997	acyl-CoA oxidase activity
GO:0015410	manganese transmembrane transporter activity, phosphorylative mechanism
GO:0003991	acetylglutamate kinase activity
GO:0003990	acetylcholinesterase activity
GO:0003993	acid phosphatase activity
GO:0047801	L-cysteine
GO:0047800	cysteamine dioxygenase activity
GO:0008079	translation termination factor activity
GO:0016859	cis-trans isomerase activity
GO:0070180	large ribosomal subunit rRNA binding
GO:0070181	small ribosomal subunit rRNA binding
GO:0070182	DNA polymerase binding
GO:0016972	thiol oxidase activity
GO:0016603	glutaminyl-peptide cyclotransferase activity
GO:0004667	prostaglandin-D synthase activity
GO:0050051	leukotriene-B4 20-monooxygenase activity
GO:0008569	ATP-dependent microtubule motor activity, minus-end-directed
GO:0008568	microtubule-severing ATPase activity
GO:0016608	growth hormone-releasing hormone activity
GO:0070742	C2H2 zinc finger domain binding
GO:0070740	tubulin-glutamic acid ligase activity
GO:0015390	purine-specific nucleoside
GO:0140571	transmembrane ascorbate ferrireductase activity
GO:0050290	sphingomyelin phosphodiesterase D activity
GO:0050291	sphingosine N-acyltransferase activity
GO:0042826	histone deacetylase binding
GO:0050294	steroid sulfotransferase activity
GO:0050295	steryl-beta-glucosidase activity
GO:0004362	glutathione-disulfide reductase activity
GO:0030629	U6 snRNA 3'-end binding
GO:0047704	bile-salt sulfotransferase activity
GO:0004660	protein farnesyltransferase activity
GO:0019887	protein kinase regulator activity
GO:0019888	protein phosphatase regulator activity
GO:0103046	alanylglutamate dipeptidase activity
GO:0047015	3-hydroxy-2-methylbutyryl-CoA dehydrogenase activity
GO:0004741	[pyruvate dehydrogenase (lipoamide)] phosphatase activity
GO:0044729	hemi-methylated DNA-binding
GO:0002953	5'-deoxynucleotidase activity
GO:0002950	ceramide phosphoethanolamine synthase activity
GO:0002951	leukotriene-C(4) hydrolase
GO:0030899	calcium-dependent ATPase activity
GO:0032896	palmitoyl-CoA 9-desaturase activity
GO:0008419	RNA lariat debranching enzyme activity
GO:0008418	protein-N-terminal asparagine amidohydrolase activity
GO:0016779	nucleotidyltransferase activity
GO:0000406	double-strand/single-strand DNA junction binding
GO:0051539	4 iron, 4 sulfur cluster binding
GO:0000404	heteroduplex DNA loop binding
GO:0000405	bubble DNA binding
GO:0016773	phosphotransferase activity, alcohol group as acceptor
GO:0016772	transferase activity, transferring phosphorus-containing groups
GO:0051536	iron-sulfur cluster binding
GO:0051537	2 iron, 2 sulfur cluster binding
GO:0052629	phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity
GO:0047391	alkylglycerophosphoethanolamine phosphodiesterase activity
GO:0008417	fucosyltransferase activity
GO:1990889	H4K20me3 modified histone binding
GO:0070567	cytidylyltransferase activity
GO:0047390	glycerophosphocholine cholinephosphodiesterase activity
GO:0000976	transcription regulatory region sequence-specific DNA binding
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0001972	retinoic acid binding
GO:0015174	basic amino acid transmembrane transporter activity
GO:0015175	neutral amino acid transmembrane transporter activity
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding
GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding
GO:0015171	amino acid transmembrane transporter activity
GO:0015172	acidic amino acid transmembrane transporter activity
GO:0015173	aromatic amino acid transmembrane transporter activity
GO:0016153	urocanate hydratase activity
GO:0071164	RNA trimethylguanosine synthase activity
GO:0016151	nickel cation binding
GO:0016150	translation release factor activity, codon nonspecific
GO:0016155	formyltetrahydrofolate dehydrogenase activity
GO:1904713	beta-catenin destruction complex binding
GO:0008523	sodium-dependent multivitamin transmembrane transporter activity
GO:0072582	17-beta-hydroxysteroid dehydrogenase (NADP+) activity
GO:0015607	ABC-type fatty-acyl-CoA transporter activity
GO:0052853	long-chain-(S)-2-hydroxy-long-chain-acid oxidase activity
GO:0034485	phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity
GO:0051765	inositol tetrakisphosphate kinase activity
GO:0001851	complement component C3b binding
GO:0042171	lysophosphatidic acid acyltransferase activity
GO:0047412	N-(long-chain-acyl)ethanolamine deacylase activity
GO:0047419	N-acetylgalactosamine-6-phosphate deacetylase activity
GO:0000994	RNA polymerase III core binding
GO:0043565	sequence-specific DNA binding
GO:0043560	insulin receptor substrate binding
GO:0052751	GDP-mannose hydrolase activity
GO:1904399	heparan sulfate binding
GO:0044610	FMN transmembrane transporter activity
GO:0047092	27-hydroxycholesterol 7-alpha-monooxygenase activity
GO:0043250	sodium-dependent organic anion transmembrane transporter activity
GO:1904408	melatonin binding
GO:0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity
GO:0015491	cation
GO:0035605	peptidyl-cysteine S-nitrosylase activity
GO:0042288	MHC class I protein binding
GO:0042289	MHC class II protein binding
GO:0042287	MHC protein binding
GO:0042284	sphingolipid delta-4 desaturase activity
GO:0042285	xylosyltransferase activity
GO:0042282	hydroxymethylglutaryl-CoA reductase activity
GO:0042283	dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity
GO:0047676	arachidonate-CoA ligase activity
GO:0042281	dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity
GO:0019772	low-affinity IgG receptor activity
GO:0030250	guanylate cyclase activator activity
GO:0030251	guanylate cyclase inhibitor activity
GO:0097573	glutathione oxidoreductase activity
GO:0008597	calcium-dependent protein serine/threonine phosphatase regulator activity
GO:0097604	temperature-gated cation channel activity
GO:0062050	GPI-mannose ethanolamine phosphate phosphodiesterase activity
GO:0019869	chloride channel inhibitor activity
GO:0097602	cullin family protein binding
GO:0097603	temperature-gated ion channel activity
GO:0019862	IgA binding
GO:0019863	IgE binding
GO:0019864	IgG binding
GO:0019865	immunoglobulin binding
GO:0035730	S-nitrosoglutathione binding
GO:0043559	insulin binding
GO:0062082	HLA-E specific inhibitory MHC class Ib receptor activity
GO:0062081	activating MHC class Ib receptor activity
GO:0015067	amidinotransferase activity
GO:0044508	glucagon-like peptide 1 receptor activity
GO:0062185	secalciferol 1-monooxygenase activity
GO:0061666	UFM1 ligase activity
GO:0003976	UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity
GO:0017046	peptide hormone binding
GO:0048763	calcium-induced calcium release activity
GO:0062184	testosterone 16-beta-hydroxylase activity
GO:1990269	RNA polymerase II C-terminal domain phosphoserine binding
GO:0097199	cysteine-type endopeptidase activity involved in apoptotic signaling pathway
GO:0017040	N-acylsphingosine amidohydrolase activity
GO:0017041	galactosylgalactosylglucosylceramidase activity
GO:0035515	oxidative RNA demethylase activity
GO:0035516	oxidative DNA demethylase activity
GO:0062069	GARP complex binding
GO:0106235	ceramide-1-phosphate phosphatase activity
GO:0061513	glucose 6-phosphate
GO:0031763	galanin receptor binding
GO:0098882	structural constituent of presynaptic active zone
GO:0003873	6-phosphofructo-2-kinase activity
GO:0062180	25-hydroxycholecalciferol-23-hydroxylase activity
GO:0086062	voltage-gated sodium channel activity involved in Purkinje myocyte action potential
GO:0015187	glycine transmembrane transporter activity
GO:0086060	voltage-gated sodium channel activity involved in AV node cell action potential
GO:0086061	voltage-gated sodium channel activity involved in bundle of His cell action potential
GO:0043183	vascular endothelial growth factor receptor 1 binding
GO:0015186	L-glutamine transmembrane transporter activity
GO:0033857	diphosphoinositol-pentakisphosphate kinase activity
GO:0043184	vascular endothelial growth factor receptor 2 binding
GO:0043185	vascular endothelial growth factor receptor 3 binding
GO:0015181	arginine transmembrane transporter activity
GO:0042356	GDP-4-dehydro-D-rhamnose reductase activity
GO:0033858	N-acetylgalactosamine kinase activity
GO:0047936	glucose 1-dehydrogenase [NAD(P)] activity
GO:0003877	ATP adenylyltransferase activity
GO:0140536	nuclear receptor corepressor activity
GO:0003874	6-pyruvoyltetrahydropterin synthase activity
GO:0046592	polyamine oxidase activity
GO:0008607	phosphorylase kinase regulator activity
GO:0033265	choline binding
GO:1990081	trimethylamine receptor activity
GO:0031729	CCR4 chemokine receptor binding
GO:0031728	CCR3 chemokine receptor binding
GO:0045295	gamma-catenin binding
GO:0031723	CXCR4 chemokine receptor binding
GO:0031721	hemoglobin alpha binding
GO:0031720	haptoglobin binding
GO:0031727	CCR2 chemokine receptor binding
GO:0031726	CCR1 chemokine receptor binding
GO:0031724	CXCR5 chemokine receptor binding
GO:0106309	progesterone 21-hydroxylase activity
GO:0070064	proline-rich region binding
GO:0000215	tRNA 2'-phosphotransferase activity
GO:0030109	HLA-B specific inhibitory MHC class I receptor activity
GO:0001532	interleukin-21 receptor activity
GO:0106301	arachidonic acid 5,6-epoxygenase activity
GO:0030107	HLA-A specific inhibitory MHC class I receptor activity
GO:0106306	protein serine phosphatase activity
GO:0106307	protein threonine phosphatase activity
GO:0050614	delta24-sterol reductase activity
GO:0009918	sterol delta7 reductase activity
GO:0005049	nuclear export signal receptor activity
GO:0005048	signal sequence binding
GO:0050610	methylarsonate reductase activity
GO:0005044	scavenger receptor activity
GO:0005047	signal recognition particle binding
GO:0035197	siRNA binding
GO:0005041	low-density lipoprotein particle receptor activity
GO:0005043	netrin receptor activity involved in chemorepulsion
GO:0005042	netrin receptor activity
GO:0046817	chemokine receptor antagonist activity
GO:0004151	dihydroorotase activity
GO:0005267	potassium channel activity
GO:0005261	cation channel activity
GO:0005260	intracellularly ATP-gated chloride channel activity
GO:0005262	calcium channel activity
GO:0047933	glucose-1,6-bisphosphate synthase activity
GO:0050313	sulfur dioxygenase activity
GO:0045028	G protein-coupled purinergic nucleotide receptor activity
GO:0016312	inositol bisphosphate phosphatase activity
GO:0046811	histone deacetylase inhibitor activity
GO:0004798	thymidylate kinase activity
GO:0004799	thymidylate synthase activity
GO:0045030	G protein-coupled UTP receptor activity
GO:0004797	thymidine kinase activity
GO:0004794	L-threonine ammonia-lyase activity
GO:0032358	oxidized pyrimidine DNA binding
GO:0004792	thiosulfate sulfurtransferase activity
GO:0106162	mRNA N-acetyltransferase activity
GO:0004790	thioether S-methyltransferase activity
GO:0004791	thioredoxin-disulfide reductase activity
GO:0030742	GTP-dependent protein binding
GO:0106019	phosphatidylinositol-4,5-bisphosphate phosphatase activity
GO:0004408	holocytochrome-c synthase activity
GO:0047888	fatty acid peroxidase activity
GO:0004407	histone deacetylase activity
GO:0102207	docosanoate omega-hydroxylase activity
GO:0004402	histone acetyltransferase activity
GO:0102200	N-acetylphosphatidylethanolamine-hydrolysing phospholipase activity
GO:0030748	amine N-methyltransferase activity
GO:0005463	UDP-N-acetylgalactosamine transmembrane transporter activity
GO:0005462	UDP-N-acetylglucosamine transmembrane transporter activity
GO:0005461	UDP-glucuronic acid transmembrane transporter activity
GO:0005460	UDP-glucose transmembrane transporter activity
GO:0005464	UDP-xylose transmembrane transporter activity
GO:0098641	cadherin binding involved in cell-cell adhesion
GO:0098640	integrin binding involved in cell-matrix adhesion
GO:0005319	lipid transporter activity
GO:0030305	heparanase activity
GO:0004222	metalloendopeptidase activity
GO:0008775	acetate CoA-transferase activity
GO:0005310	dicarboxylic acid transmembrane transporter activity
GO:0005313	L-glutamate transmembrane transporter activity
GO:0005183	gonadotropin hormone-releasing hormone activity
GO:0005315	inorganic phosphate transmembrane transporter activity
GO:0005314	high-affinity glutamate transmembrane transporter activity
GO:0051059	NF-kappaB binding
GO:0005316	high-affinity inorganic phosphate
GO:0008173	RNA methyltransferase activity
GO:0008170	N-methyltransferase activity
GO:0008171	O-methyltransferase activity
GO:0008176	tRNA (guanine-N7-)-methyltransferase activity
GO:0050262	ribosylnicotinamide kinase activity
GO:0008174	mRNA methyltransferase activity
GO:0008175	tRNA methyltransferase activity
GO:0048270	methionine adenosyltransferase regulator activity
GO:0048273	mitogen-activated protein kinase p38 binding
GO:0008179	adenylate cyclase binding
GO:0071209	U7 snRNA binding
GO:0106006	cytoskeletal protein-membrane anchor activity
GO:0102486	dCTP phosphohydrolase activity
GO:0042610	CD8 receptor binding
GO:0050462	N-acetylneuraminate synthase activity
GO:0004822	isoleucine-tRNA ligase activity
GO:0008889	glycerophosphodiester phosphodiesterase activity
GO:0008887	glycerate kinase activity
GO:0000150	recombinase activity
GO:0036139	peptidyl-histidine dioxygenase activity
GO:0005280	amino acid
GO:0004312	fatty acid synthase activity
GO:0004313	[acyl-carrier-protein] S-acetyltransferase activity
GO:0004310	farnesyl-diphosphate farnesyltransferase activity
GO:0004311	farnesyltranstransferase activity
GO:0004316	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity
GO:0004317	3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity
GO:0102337	3-oxo-cerotoyl-CoA synthase activity
GO:0102336	3-oxo-arachidoyl-CoA synthase activity
GO:0102339	3-oxo-arachidoyl-CoA reductase activity
GO:0102338	3-oxo-lignoceronyl-CoA synthase activity
GO:0099604	ligand-gated calcium channel activity
GO:0048185	activin binding
GO:0102158	very-long-chain 3-hydroxyacyl-CoA dehydratase activity
GO:0004138	deoxyguanosine kinase activity
GO:0004139	deoxyribose-phosphate aldolase activity
GO:0030267	glyoxylate reductase (NADP+) activity
GO:0030621	U4 snRNA binding
GO:0004132	dCMP deaminase activity
GO:0004133	glycogen debranching enzyme activity
GO:0140223	general transcription initiation factor activity
GO:0004131	cytosine deaminase activity
GO:0004136	deoxyadenosine kinase activity
GO:0004137	deoxycytidine kinase activity
GO:0004134	4-alpha-glucanotransferase activity
GO:0004135	amylo-alpha-1,6-glucosidase activity
GO:0003836	beta-galactoside (CMP) alpha-2,3-sialyltransferase activity
GO:0003837	beta-ureidopropionase activity
GO:0003834	beta-carotene 15,15'-monooxygenase activity
GO:0003835	beta-galactoside alpha-2,6-sialyltransferase activity
GO:0008312	7S RNA binding
GO:0036002	pre-mRNA binding
GO:0008310	single-stranded DNA 3'-5' exodeoxyribonuclease activity
GO:0008311	double-stranded DNA 3'-5' exodeoxyribonuclease activity
GO:0019215	intermediate filament binding
GO:0047166	1-alkenylglycerophosphoethanolamine O-acyltransferase activity
GO:0008318	protein prenyltransferase activity
GO:0003839	gamma-glutamylcyclotransferase activity
GO:0046912	transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer
GO:0046911	metal chelating activity
GO:0008852	exodeoxyribonuclease I activity
GO:0008083	growth factor activity
GO:0008080	N-acetyltransferase activity
GO:0008081	phosphoric diester hydrolase activity
GO:0070996	type 1 melanocortin receptor binding
GO:0070626	(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity
GO:0016805	dipeptidase activity
GO:0080146	L-cysteine desulfhydrase activity
GO:0016807	cysteine-type carboxypeptidase activity
GO:0070990	snRNP binding
GO:0103002	16-hydroxypalmitate dehydrogenase activity
GO:0050591	quinine 3-monooxygenase activity
GO:0042903	tubulin deacetylase activity
GO:0047730	carnosine synthase activity
GO:0030623	U5 snRNA binding
GO:0038121	C-C motif chemokine 21 receptor activity
GO:0008559	ABC-type xenobiotic transporter activity
GO:0090409	malonyl-CoA synthetase activity
GO:0019969	interleukin-10 binding
GO:0003943	N-acetylgalactosamine-4-sulfatase activity
GO:0030172	troponin C binding
GO:0003941	L-serine ammonia-lyase activity
GO:0003947	(N-acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase activity
GO:0008556	potassium transmembrane transporter activity, phosphorylative mechanism
GO:0003945	N-acetyllactosamine synthase activity
GO:0008798	beta-aspartyl-peptidase activity
GO:0016941	natriuretic peptide receptor activity
GO:0070191	methionine-R-sulfoxide reductase activity
GO:0050048	L-leucine
GO:0098919	structural constituent of postsynaptic density
GO:0031685	adenosine receptor binding
GO:0008796	bis(5'-nucleosyl)-tetraphosphatase activity
GO:0032089	NACHT domain binding
GO:0098918	structural constituent of synapse
GO:0015389	pyrimidine- and adenine-specific
GO:0015386	potassium
GO:0015385	sodium
GO:0042835	BRE binding
GO:0042834	peptidoglycan binding
GO:0015068	glycine amidinotransferase activity
GO:0047805	cytidylate cyclase activity
GO:0019894	kinesin binding
GO:0033592	RNA strand annealing activity
GO:0033041	sweet taste receptor activity
GO:0106347	U2 snRNA 2'-O-methyladenosine m6 methyltransferase activity
GO:0047710	bis(5'-adenosyl)-triphosphatase activity
GO:0019899	enzyme binding
GO:0047718	indanol dehydrogenase activity
GO:0043404	corticotropin-releasing hormone receptor activity
GO:0016499	orexin receptor activity
GO:0016496	substance P receptor activity
GO:0016497	substance K receptor activity
GO:0016494	C-X-C chemokine receptor activity
GO:0016495	C-X3-C chemokine receptor activity
GO:0016492	G protein-coupled neurotensin receptor activity
GO:0016493	C-C chemokine receptor activity
GO:0016491	oxidoreductase activity
GO:0008428	ribonuclease inhibitor activity
GO:0008429	phosphatidylethanolamine binding
GO:0051525	NFAT protein binding
GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen
GO:0035877	death effector domain binding
GO:0008425	2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity
GO:0008426	protein kinase C inhibitor activity
GO:0070280	pyridoxal binding
GO:0008420	RNA polymerase II CTD heptapeptide repeat phosphatase activity
GO:0008422	beta-glucosidase activity
GO:0016701	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen
GO:0070577	lysine-acetylated histone binding
GO:0070576	vitamin D 24-hydroxylase activity
GO:0050136	NADH dehydrogenase (quinone) activity
GO:0070573	metallodipeptidase activity
GO:0015164	glucuronoside transmembrane transporter activity
GO:0019706	protein-cysteine S-palmitoyltransferase activity
GO:0019705	protein-cysteine S-myristoyltransferase activity
GO:0015168	glycerol transmembrane transporter activity
GO:0001786	phosphatidylserine binding
GO:0032406	MutLbeta complex binding
GO:0001784	phosphotyrosine residue binding
GO:0001785	prostaglandin J receptor activity
GO:0062213	peroxynitrite isomerase activity
GO:0042169	SH2 domain binding
GO:0047408	alkenylglycerophosphocholine hydrolase activity
GO:0008454	alpha-1,3-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity
GO:0042163	interleukin-12 beta subunit binding
GO:0042162	telomeric DNA binding
